109,2021-07-21,HCEN,33,0,29,33
110,2021-07-21,HES,5.8,170,29,5.8
111,2021-07-21,HIKA,2.76,0,29,2.76
112,2021-07-21,HNVK,18.4,0,29,18.232
113,2021-07-21,HRZ,2.66,1000000,29,2.66
114,2021-07-21,HSI,2.6,0,29,2.6
115,2021-07-21,HSOF,3.6,0,29,3.6
116,2021-07-21,HVAR,40.4,85,29,39.9694
117,2021-07-21,IDH,2.34,75,29,2.34
118,2021-07-21,IHB,1.27,15482,29,1.27
119,2021-07-21,KBG,8.25,20,29,8.25
120,2021-07-21,LAV,3.8,0,29,3.8
121,2021-07-21,MONB,6,500,29,6.0283
122,2021-07-21,MSH,7.5,40,29,7.5
123,2021-07-21,NEOH,24.8,165,29,24.5309
124,2021-07-21,ODES,115,0,29,115
125,2021-07-21,PET,0.23,0,29,0.23
126,2021-07-21,SFA,3.48,1100,29,3.4661
127,2021-07-21,SFT,5.05,100,29,5.05
128,2021-07-21,SGH,0.498,7800,29,0.4939
129,2021-07-21,SKEH,22.4,0,29,22.4
130,2021-07-21,SNRG,0.645,0,29,0.6653
131,2021-07-21,SPH,7.25,0,29,7.25
132,2021-07-21,T57,3.82,0,29,3.7213
133,2021-07-21,TBS,13.6,2793,29,13.5054
134,2021-07-21,TOPL,2.2,0,29,2.2
135,2021-07-21,TXIM,3,0,29,3
136,2021-07-21,YGAG,5,0,29,5.0847
137,2021-07-21,ZHBG,0.137,222,29,0.137
138,2021-07-21,ZLP,2.46,0,29,2.4258
139,2021-07-22,A4L,17.5,211,29,17.6166
140,2021-07-22,ALB,32.4,0,29,32.4
141,2021-07-22,ALCM,9.2,0,29,9.2
142,2021-07-22,ATER,2.45,0,29,2.4482
143,2021-07-22,BREF,2.14,1480,29,2.1471
144,2021-07-22,CCB,0.995,13750,29,0.9752
145,2021-07-22,CHIM,0.85,18750,29,0.8485
146,2021-07-22,DUH,7.24,5930,29,7.23
147,2021-07-22,EAC,1.06,1060,29,1.0615
148,2021-07-22,ELHM,0.835,0,29,0.8251
149,2021-07-22,EMKA,3.26,0,29,3.3242
150,2021-07-22,EUBG,2.54,11500,29,2.5426
151,2021-07-22,FIB,1.7,3000,29,1.7114
152,2021-07-22,FZLS,21,0,29,21
153,2021-07-22,GAMZ,3.8,0,29,3.8
154,2021-07-22,GR6,1.43,1014,29,1.4307
155,2021-07-22,HCEN,33,0,29,33
156,2021-07-22,HES,5.8,0,29,5.8
157,2021-07-22,HIKA,2.96,500,29,2.96
158,2021-07-22,HNVK,18.4,0,29,18.232
159,2021-07-22,HRZ,2.66,0,29,2.66
160,2021-07-22,HSI,2.6,0,29,2.6
161,2021-07-22,HSOF,3.6,0,29,3.6
162,2021-07-22,HVAR,40.2,90,29,39.84
163,2021-07-22,IDH,2.34,0,29,2.34
164,2021-07-22,IHB,1.28,1250,29,1.28
165,2021-07-22,KBG,8.25,0,29,8.25
166,2021-07-22,LAV,3.8,0,29,3.8
167,2021-07-22,MONB,5.7,6000,29,5.808
168,2021-07-22,MSH,7.5,0,29,7.5
169,2021-07-22,NEOH,24.2,110,29,24.2909
170,2021-07-22,ODES,115,0,29,115
171,2021-07-22,PET,0.23,0,29,0.23
172,2021-07-22,SFA,3.48,0,29,3.4661
173,2021-07-22,SFT,5.1,300,29,5.1
174,2021-07-22,SGH,0.496,31037,29,0.5028
175,2021-07-22,SKEH,22.4,0,29,22.4
176,2021-07-22,SNRG,0.645,0,29,0.6653
177,2021-07-22,SPH,7.25,0,29,7.25
178,2021-07-22,T57,3.74,3371,29,3.5856
179,2021-07-22,TBS,13.7,100,29,13.7
180,2021-07-22,TOPL,2.2,0,29,2.2
181,2021-07-22,TXIM,3,0,29,3
182,2021-07-22,YGAG,5,0,29,5.0847
183,2021-07-22,ZHBG,0.137,0,29,0.137
184,2021-07-22,ZLP,2.46,0,29,2.4258
185,2021-08-02,A4L,17.6,1622,31,17.6166
186,2021-08-02,ALB,36,100,31,35.86
187,2021-08-02,ALCM,9.25,295,31,9.2339
188,2021-08-02,ATER,2.67,6839,31,2.6734
189,2021-08-02,BREF,2.3,10600,31,2.2948
190,2021-08-02,CCB,1.05,5780,31,1.0495
191,2021-08-02,CHIM,0.85,17649,31,0.8639
192,2021-08-02,DUH,6.9,495,31,6.8448
193,2021-08-02,EAC,1.08,0,31,1.0748
194,2021-08-02,ELHM,0.79,0,31,0.7959
195,2021-08-02,EMKA,3.6,0,31,3.5934
196,2021-08-02,EUBG,2.48,10200,31,2.5192
197,2021-08-02,FIB,1.7,0,31,1.7057
198,2021-08-02,FZLS,19,4128,31,19.0019
199,2021-08-02,GAMZ,3.8,0,31,3.8
200,2021-08-02,GR6,1.46,581,31,1.4608
201,2021-08-02,HCEN,34.2,0,31,34.2
202,2021-08-02,HES,5.8,190,31,5.8408
203,2021-08-02,HIKA,3.02,0,31,3.02
204,2021-08-02,HNVK,18.4,0,31,18.232
205,2021-08-02,HRZ,2.66,0,31,2.66
206,2021-08-02,HSI,2.6,0,31,2.6
207,2021-08-02,HSOF,3.44,0,31,3.45
208,2021-08-02,HVAR,40.2,55,31,39.8909
209,2021-08-02,IDH,2.36,0,31,2.36
210,2021-08-02,IHB,1.55,1617,31,1.55
211,2021-08-02,KBG,8.3,70,31,8.3
212,2021-08-02,LAV,3.8,0,31,3.8
213,2021-08-02,MONB,6.2,200,31,6.175
214,2021-08-02,MSH,7.65,0,31,7.65
215,2021-08-02,NEOH,27.6,101,31,27.2931
216,2021-08-02,ODES,103,0,31,102.0227
217,2021-08-02,PET,0.23,0,31,0.23
218,2021-08-02,SFA,3.52,1050,31,3.5067
219,2021-08-02,SFT,5.2,1220,31,5.1939
220,2021-08-02,SGH,0.51,200,31,0.51
221,2021-08-02,SKEH,22.4,0,31,22.4
222,2021-08-02,SNRG,0.75,0,31,0.6892
223,2021-08-02,SPH,7.45,970,31,7.3848
224,2021-08-02,T57,3.46,370,31,3.4492
225,2021-08-02,TBS,13.6,114,31,13.536
226,2021-08-02,TOPL,2.1,0,31,2.1
227,2021-08-02,TXIM,3,0,31,3
228,2021-08-02,YGAG,5.5,34,31,5.5
229,2021-08-02,ZHBG,0.136,0,31,0.1364
230,2021-08-02,ZLP,2.46,0,31,2.4258
231,2021-08-03,A4L,17.9,1201,31,17.5254
232,2021-08-03,ALB,35.8,50,31,34.944
233,2021-08-03,ALCM,9,952,31,9.0378
234,2021-08-03,ATER,2.71,6864,31,2.6898
235,2021-08-03,BREF,2.33,4592,31,2.3007
236,2021-08-03,CCB,1.05,24935,31,1.0542
237,2021-08-03,CHIM,0.856,18845,31,0.8621
238,2021-08-03,DUH,6.8,2407,31,6.7979
239,2021-08-03,EAC,1.08,0,31,1.0748
240,2021-08-03,ELHM,0.79,0,31,0.7959
241,2021-08-03,EMKA,3.6,0,31,3.5934
242,2021-08-03,EUBG,2.52,52050,31,2.5188
243,2021-08-03,FIB,1.73,286,31,1.73
244,2021-08-03,FZLS,19,0,31,19.0019
245,2021-08-03,GAMZ,3.8,0,31,3.8
246,2021-08-03,GR6,1.47,240,31,1.47
247,2021-08-03,HCEN,34.2,0,31,34.2
248,2021-08-03,HES,5.8,0,31,5.8408
249,2021-08-03,HIKA,3.02,0,31,3.02
250,2021-08-03,HNVK,18.4,0,31,18.232
251,2021-08-03,HRZ,2.66,0,31,2.66
252,2021-08-03,HSI,2.6,0,31,2.6
253,2021-08-03,HSOF,3.44,0,31,3.45
254,2021-08-03,HVAR,40.2,60,31,40.2
255,2021-08-03,IDH,2.36,0,31,2.36
256,2021-08-03,IHB,1.56,1416,31,1.56
257,2021-08-03,KBG,8.3,0,31,8.3
258,2021-08-03,LAV,3.8,0,31,3.8
259,2021-08-03,MONB,6.2,0,31,6.175
260,2021-08-03,MSH,7.35,2000,31,7.1963
261,2021-08-03,NEOH,27.4,40,31,27.4
262,2021-08-03,ODES,103,0,31,102.0227
263,2021-08-03,PET,0.23,0,31,0.23
264,2021-08-03,SFA,3.5,2773,31,3.482
265,2021-08-03,SFT,5.25,1280,31,5.2243
266,2021-08-03,SGH,0.51,0,31,0.51
267,2021-08-03,SKEH,22.4,0,31,22.4
268,2021-08-03,SNRG,0.75,0,31,0.6892
269,2021-08-03,SPH,7.45,0,31,7.3848
270,2021-08-03,T57,3.46,0,31,3.4492
271,2021-08-03,TBS,13.4,650,31,13.4408
272,2021-08-03,TOPL,2.1,0,31,2.1
273,2021-08-03,TXIM,3,0,31,3
274,2021-08-03,YGAG,5.5,0,31,5.5
275,2021-08-03,ZHBG,0.136,0,31,0.1364
276,2021-08-03,ZLP,1.43,260,31,1.5635
277,2021-08-04,A4L,17.2,1899,31,17.1707
278,2021-08-04,ALB,34.2,80,31,34.25
279,2021-08-04,ALCM,8.75,1570,31,8.8064
