169,ALB,2021-07-28,0.16667
170,CHIM,2021-07-28,0.03881
171,HRZ,2021-07-28,0
172,HSI,2021-07-28,0
173,GR6,2021-07-28,0.13125
174,ZHBG,2021-07-28,0
175,TBS,2021-07-28,0.0219
176,A4L,2021-07-28,0.05618
177,NEOH,2021-07-29,0
178,TOPL,2021-07-29,0
179,ZLP,2021-07-29,0
180,CCB,2021-07-29,0.05
181,EUBG,2021-07-29,0.18667
182,HES,2021-07-29,0.15873
183,HSOF,2021-07-29,0
184,HIKA,2021-07-29,0
185,EMKA,2021-07-29,0
186,BREF,2021-07-29,0.07143
187,FIB,2021-07-29,0.0904
188,ODES,2021-07-29,0
189,PET,2021-07-29,0
190,HVAR,2021-07-29,0
191,ALB,2021-07-29,0.20526
192,CHIM,2021-07-29,0
193,HRZ,2021-07-29,0
194,HSI,2021-07-29,0
195,GR6,2021-07-29,0.13125
196,ZHBG,2021-07-29,0
197,TBS,2021-07-29,0.02206
198,A4L,2021-07-29,0.05618
199,NEOH,2021-07-30,0.11565
200,TOPL,2021-07-30,0
201,ZLP,2021-07-30,0
202,CCB,2021-07-30,0.05
203,EUBG,2021-07-30,0.18182
204,HES,2021-07-30,0.13077
205,HSOF,2021-07-30,0
206,HIKA,2021-07-30,0
207,EMKA,2021-07-30,0
208,BREF,2021-07-30,0.06751
209,FIB,2021-07-30,0
210,ODES,2021-07-30,0
211,PET,2021-07-30,0
212,HVAR,2021-07-30,0
213,ALB,2021-07-30,0.17486
214,CHIM,2021-07-30,0.04318
215,HRZ,2021-07-30,0
216,HSI,2021-07-30,0
217,GR6,2021-07-30,0.11875
218,ZHBG,2021-07-30,0
219,TBS,2021-07-30,0.02206
220,A4L,2021-07-30,0.05618
221,NEOH,2021-08-02,0.16
222,TOPL,2021-08-02,0
223,ZLP,2021-08-02,0
224,CCB,2021-08-02,0.05
225,EUBG,2021-08-02,0.24516
226,HES,2021-08-02,0.20896
227,HSOF,2021-08-02,0
228,HIKA,2021-08-02,0
229,EMKA,2021-08-02,0
230,BREF,2021-08-02,0.07173
231,FIB,2021-08-02,0
232,ODES,2021-08-02,0
233,PET,2021-08-02,0
234,HVAR,2021-08-02,0
