ALB,2021-07-29,0.20526
CHIM,2021-07-29,0
HRZ,2021-07-29,0
HSI,2021-07-29,0
GR6,2021-07-29,0.13125
ZHBG,2021-07-29,0
TBS,2021-07-29,0.02206
A4L,2021-07-29,0.05618
NEOH,2021-07-30,0.11565
TOPL,2021-07-30,0
ZLP,2021-07-30,0
CCB,2021-07-30,0.05
EUBG,2021-07-30,0.18182
HES,2021-07-30,0.13077
HSOF,2021-07-30,0
HIKA,2021-07-30,0
EMKA,2021-07-30,0
BREF,2021-07-30,0.06751
FIB,2021-07-30,0
ODES,2021-07-30,0
PET,2021-07-30,0
HVAR,2021-07-30,0
ALB,2021-07-30,0.17486
CHIM,2021-07-30,0.04318
HRZ,2021-07-30,0
HSI,2021-07-30,0
GR6,2021-07-30,0.11875
ZHBG,2021-07-30,0
TBS,2021-07-30,0.02206
A4L,2021-07-30,0.05618
NEOH,2021-08-02,0.16
TOPL,2021-08-02,0
ZLP,2021-08-02,0
CCB,2021-08-02,0.05
EUBG,2021-08-02,0.24516
HES,2021-08-02,0.20896
HSOF,2021-08-02,0
HIKA,2021-08-02,0
EMKA,2021-08-02,0
BREF,2021-08-02,0.07173
FIB,2021-08-02,0
ODES,2021-08-02,0
PET,2021-08-02,0
HVAR,2021-08-02,0
ALB,2021-08-02,0
CHIM,2021-08-02,0
HRZ,2021-08-02,0
HSI,2021-08-02,0
GR6,2021-08-02,0
ZHBG,2021-08-02,0
TBS,2021-08-02,0.02206
A4L,2021-08-02,0.05618
NEOH,2021-08-03,0.12162
TOPL,2021-08-03,0
ZLP,2021-08-03,0
CCB,2021-08-03,0.05
EUBG,2021-08-03,0.2129
HES,2021-08-03,0
HSOF,2021-08-03,0
HIKA,2021-08-03,0
EMKA,2021-08-03,0
BREF,2021-08-03,0.07563
FIB,2021-08-03,0
ODES,2021-08-03,0
PET,2021-08-03,0
HVAR,2021-08-03,0
ALB,2021-08-03,0.31472
CHIM,2021-08-03,0
HRZ,2021-08-03,0
HSI,2021-08-03,0
GR6,2021-08-03,0
ZHBG,2021-08-03,0
TBS,2021-08-03,0.02206
A4L,2021-08-03,0.05618
NEOH,2021-08-04,0.11486
TOPL,2021-08-04,0
ZLP,2021-08-04,0
CCB,2021-08-04,0.05
EUBG,2021-08-04,0.24516
HES,2021-08-04,0.23308
HSOF,2021-08-04,0
HIKA,2021-08-04,0
EMKA,2021-08-04,0
BREF,2021-08-04,0.06723
FIB,2021-08-04,0
ODES,2021-08-04,0
PET,2021-08-04,0
HVAR,2021-08-04,0
ALB,2021-08-04,0.31472
CHIM,2021-08-04,0.04091
HRZ,2021-08-04,0
HSI,2021-08-04,0
GR6,2021-08-04,0
ZHBG,2021-08-04,0
TBS,2021-08-04,0.02206
A4L,2021-08-04,0.05618
NEOH,2021-08-05,0.11486
TOPL,2021-08-05,0
ZLP,2021-08-05,0
CCB,2021-08-05,0.05
EUBG,2021-08-05,0.18667
HES,2021-08-05,0.15038
HSOF,2021-08-05,0
HIKA,2021-08-05,0
EMKA,2021-08-05,0
BREF,2021-08-05,0.06667
FIB,2021-08-05,0
ODES,2021-08-05,0
PET,2021-08-05,0
HVAR,2021-08-05,0
ALB,2021-08-05,0.27027
CHIM,2021-08-05,0
HRZ,2021-08-05,0
HSI,2021-08-05,0
GR6,2021-08-05,0
ZHBG,2021-08-05,0
TBS,2021-08-05,0.00735
A4L,2021-08-05,0.05618
A4L,2021-08-06,0.05618
ALB,2021-08-06,0
ALCM,2021-08-06,0.11828
ATER,2021-08-06,0.022059
BREF,2021-08-06,0.058333
CCB,2021-08-06,0.05
CHIM,2021-08-06,0
DUH,2021-08-06,0.133166
EAC,2021-08-06,0.045455
ELHM,2021-08-06,0
EMKA,2021-08-06,0
EUBG,2021-08-06,0.164286
FIB,2021-08-06,0
FZLS,2021-08-06,0
GAMZ,2021-08-06,0
GR6,2021-08-06,0
HCEN,2021-08-06,0
HES,2021-08-06,0.156716
HIKA,2021-08-06,0
HNVK,2021-08-06,0
HRZ,2021-08-06,0
HSI,2021-08-06,0
HSOF,2021-08-06,0
HVAR,2021-08-06,0
IDH,2021-08-06,0
IHB,2021-08-06,0.245509
KBG,2021-08-06,0
LAV,2021-08-06,0
MONB,2021-08-06,0.055118
MSH,2021-08-06,0
NEOH,2021-08-06,0.10274
ODES,2021-08-06,0
PET,2021-08-06,0
SFA,2021-08-06,0.022727
SFT,2021-08-06,0.081818
SGH,2021-08-06,0.135135
SKEH,2021-08-06,0
SNRG,2021-08-06,0
SPH,2021-08-06,0.086667
T57,2021-08-06,0.14359
TBS,2021-08-06,0.029197
TOPL,2021-08-06,0
TXIM,2021-08-06,0
YGAG,2021-08-06,0
ZHBG,2021-08-06,0
ZLP,2021-08-06,0
