Date,Adj Close,rsi,Close,^GSPC,macd,bolu,GBPUSD=X,ma_7,JPY=X,^VIX,High,Low,LIN,PFE,^DJI,EURUSD=X,VZ,Volume,ewm,CVX,^IXIC,QCOM,CSCO,JNJ,BTC-USD,MCD,T,OPGIX,VWO,COST,XOM
2018-02-08,36.63189697265625,44.56275530047662,41.34999847412109,2581.0,0.2790929493266603,43.85140380144157,1.387925029,37.078643798828125,109.1959991,33.45999908,42.400001525878906,41.34000015258789,134.1665192,27.71769905,23860.46094,1.226813316,41.14152908,4495200.0,36.93836169018362,93.43742371,6777.160156,55.43690872,34.4225235,113.6202011,8265.589844,144.3985748,27.33111763,51.75137329,40.35063553,167.8512268,60.8100853
2018-02-09,36.75592422485352,45.62428331411084,41.4900016784668,2619.550049,0.2306603443765666,43.80139153338948,1.393495083,36.89386967250279,108.5289993,29.05999947,41.81999969482422,40.619998931884766,139.2046051,28.15452003,24190.90039,1.226076245,41.84623337,5540600.0,36.9217764660627,94.43585968,6874.490234,56.83126831,35.09729767,116.4705734,8736.980469,146.0608521,27.6999321,51.9070015,40.96092987,169.8341522,61.19771957
2018-02-12,36.56102752685547,44.19226642460614,41.27000045776367,2656.0,0.1745386484143836,43.752762482948825,1.382743359,36.74326705932617,108.8000031,25.61000061,41.7400016784668,40.369998931884766,143.1811218,28.56662369,24601.26953,1.225279927,42.03918839,6433500.0,36.88898110795295,94.83522034,6981.959961,58.31444931,36.0473175,117.1359711,8621.900391,148.876709,27.94582176,52.84079742,41.52633667,170.1536102,61.71456528
2018-02-13,36.623043060302734,44.78612224861645,41.34000015258789,2662.939941,0.133526722355306,43.72420462804312,1.385233402,36.73187746320452,108.6900024,24.96999931,41.41999816894531,40.970001220703125,143.2556,28.79739952,24640.44922,1.230375528,42.01402283,2449900.0,36.86480492180293,94.26112366,7013.509766,58.34996796,36.60667038,116.8572388,8129.970215,147.5141907,28.12254333,52.86303329,41.84943008,173.0575409,61.61765671
2018-02-14,37.04827117919922,48.808567071943706,41.81999969482422,2698.629883,0.133794530826627,43.67944874579222,1.388696074,36.88627733503069,107.7639999,19.26000023,41.95000076293945,40.720001220703125,144.4103546,29.00344276,24893.49023,1.235376239,41.53583145,3644400.0,36.88148367247532,94.54400635,7143.620117,59.14040375,37.37023544,116.5964813,8926.570313,145.325119,27.97655487,54.54533768,42.71100616,176.0647583,61.74687576
2018-02-15,38.27081298828125,58.23027948814444,43.20000076293945,2731.199951,0.2300043309992929,43.6875769945199,1.401581049,37.038146427699495,106.586998,19.12999916,43.20000076293945,42.0,145.0901642,29.43202972,25200.36914,1.246727347,41.72878265,3873100.0,37.00778633754858,94.5608139,7256.430176,57.97695541,39.13707733,117.999176,8598.30957,146.0426941,28.42988777,55.01223755,43.509758,180.4274902,61.54496384
2018-02-16,38.50740432739258,59.77328313268549,43.130001068115234,2732.219971,0.3216346307673987,43.7165522481509,1.410417318,37.199768611363005,106.1110001,19.45999908,43.43000030517578,42.630001068115234,143.0507507,29.88533401,25219.38086,1.250359535,42.07274628,3062400.0,37.144115245716215,94.23308563,7239.470215,57.59506226,39.35905457,119.7256241,9494.629883,143.3267822,28.53746986,54.95294571,43.34821701,180.5028839,61.8114624
2018-02-20,38.00743103027344,55.13787421726887,42.56999969482422,2716.26001,0.3498754900090546,43.75191431748792,1.403154373,37.39627347673689,106.2610016,20.60000038,43.18000030517578,42.29999923706055,143.0414124,29.67928696,24964.75,1.241187572,41.04085159,4532900.0,37.22259849885778,93.25832367,7234.310059,56.83126831,39.11933517,117.6754684,10166.40039,142.7545013,28.25317001,54.74543762,42.96229553,177.2614746,61.17348862
2018-02-21,37.605655670166016,51.67017031958259,42.119998931884766,2701.330078,0.3359638781811682,43.73447677979666,1.399266839,37.5176636832101,106.7089996,20.02000046,42.79999923706055,42.119998931884766,142.2405701,29.47323799,24797.7793,1.239864111,40.235466,3960600.0,37.25742187806762,91.64491272,7218.22998,56.30728531,38.45343399,116.8122711,10233.90039,144.0988312,27.89971542,54.75284576,42.90844727,175.028244,60.47898102
2018-02-22,37.28424072265625,49.014442808547045,41.7599983215332,2703.959961,0.2955958801878182,43.6695338289358,1.400109172,37.62097985403879,107.3809967,18.71999931,42.34999847412109,41.66999816894531,143.1066132,29.45675087,24962.48047,1.233532429,40.15996933,3367800.0,37.2598599548484,92.34236908,7210.089844,55.22376251,38.12491989,116.8122711,11112.7002,145.9337006,28.0226593,54.84178162,42.96229553,175.8197479,61.26232529
