Date,^GSPC,^DJI,^IXIC,^NYA,^VIX,000001.SS,EURUSD=X,JPY=X,GBPUSD=X,^IRX,^FVX,^TNX,VWO,QQQ,KWIAX,FRQIX,DODBX,IUASX,IPFPX,JLCYX,BIPIX,OGLYX,ARAIX,IWIRX,CNPIX,VWILX,OAKMX,PAGSX,OPGIX,PARNX,RYOCX,POGSX,FDYNX,BPTRX,UOPIX,RYVLX,AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,FB,NVDA,JPM,JNJ,UNH,HD,PG,V,BAC,MA,PFE,XOM,DIS,CSCO,AVGO,ADBE,CVX,PEP,TMO,KO,ABBV,CMCSA,NFLX,ABT,ACN,COST,CRM,INTC,WFC,VZ,WMT,QCOM,MRK,LLY,MCD,T,NKE,DHR,LOW,LIN,TXN,NEE,T10YIE,T5YIE
2013-01-02,1462.420044,13412.5498,3112.26001,8632.009766,14.68000031,2269.12793,1.319783568,86.59999847,1.62469542,0.055,0.763000011,1.838999987,35.66344452,61.77498245,81.81117249,33.80174255,42.71854782,22.69573212,19.42711067,21.54663658,13.54766178,43.90839767,27.65151024,17.20340729,24.16592789,52.82513046,35.00292587,16.33598518,21.01897621,20.6538105,13.4809351,28.51318932,24.62352943,22.06426239,5.194909096,22.18054581,17.01089287,23.0742321,257.3099976,7.072000027,361.9869995,360.2745972,28.0,2.940906048,34.73698044,55.37644958,47.15885544,52.02891159,52.75611877,36.4261055,10.46015835,48.31767654,17.72542572,60.38754654,46.45464325,15.57543087,25.91423035,38.34000015,75.6294632,54.1373291,62.83512497,28.26083755,23.63687134,16.45252228,13.14428616,26.87137222,57.52458191,84.03727722,42.79249954,16.70752525,26.92604637,29.2857914,56.03229141,50.16107559,29.63486671,39.07902527,69.44950104,20.13039589,22.52132797,28.3747673,30.91540337,93.4337616,25.61580467,13.00611115,1.64,1.3
2013-01-03,1459.369995,13391.36035,3100.570068,8607.790039,14.56000042,2269.12793,1.318217754,87.27500153,1.625249863,0.064999998,0.808000028,1.899000049,35.45166779,61.45324326,81.81117249,33.72350693,42.59530258,22.65882492,19.43932915,21.51781845,13.48135567,43.57625961,27.76725006,17.10897064,24.14252853,52.41988373,34.91154861,16.26613235,20.96292305,20.52549553,13.41319275,28.44766426,24.51864243,22.15920448,5.141466141,21.94822502,16.79618263,22.76512527,258.480011,6.953999996,362.1972046,360.4838257,27.77000046,2.943217278,34.66696548,55.29828262,44.95394897,51.88137817,52.42160034,36.45423126,10.39929008,48.38680267,17.68438148,60.27863312,46.55464172,15.6596632,26.04961205,37.75,75.30744934,54.16076279,62.64177322,28.26083755,23.44169617,16.26886749,13.79857063,27.89424896,57.31632233,84.89877319,42.17750168,16.66064262,26.70326614,29.1468792,55.67621994,49.92866135,30.34455109,39.24477005,69.84251404,20.14189148,22.75157928,28.64626694,30.62496567,93.4337616,25.28281784,13.00796223,1.62,1.28
2013-01-04,1466.469971,13435.20996,3101.659912,8667.679688,13.82999992,2276.991943,1.303271174,87.73999786,1.608234167,0.064999998,0.819000006,1.914999962,35.51440811,61.25101852,82.0069046,33.82128906,42.83105087,22.80647659,19.58594894,21.6546917,13.50865841,43.79546738,27.96716118,17.2506237,24.30631638,52.63095093,35.0942955,16.30106163,21.0259819,20.64888,13.37555695,28.74254608,24.57511902,22.35857964,5.108578205,21.81714058,16.32832718,22.33906364,259.1499939,6.880000114,369.3543396,367.6071167,28.76000023,3.040323496,35.28142929,55.93146515,45.04043579,51.78303528,52.5280571,36.75197983,10.52971745,48.38490295,17.7596302,60.55771255,47.44555664,15.68263531,25.8823719,38.13000107,75.7048111,54.23884964,63.19280624,28.30593491,23.14556503,16.26032066,13.71142864,27.72656441,57.63286209,84.62541962,42.40250015,16.53560066,26.8415432,29.30564308,55.88662338,49.19272232,30.086483,40.69712448,69.24143219,20.26267815,22.97314262,28.67588615,30.39431381,94.06452179,25.2273159,13.0725069,1.63,1.31
2013-01-07,1461.890015,13384.29004,3098.810059,8636.910156,13.78999996,2285.364014,1.30674541,88.19799805,1.606787086,0.057999998,0.813000023,1.902999997,35.20852661,61.26938248,82.0069046,33.7821846,42.7828331,22.76955986,19.53707695,21.59706116,13.66077518,43.64933014,27.8461628,17.22701454,24.09105492,52.41988373,34.9888649,16.24867249,21.10305214,20.60446167,13.36803055,28.53776932,24.59125328,22.23515511,5.109975815,21.81454468,16.23228264,22.29729652,268.4599915,6.868000031,367.7427368,366.0031433,29.42000008,2.952466726,35.32032013,55.81422043,45.04043579,51.50435257,52.17071152,37.01452255,10.51232815,49.22340775,17.77331924,59.85657883,46.33646774,15.53714561,25.73902512,37.93999863,75.190979,54.23104477,63.6858139,28.03535461,23.19267654,16.18772125,14.17142868,27.95293999,57.38295746,83.97102356,42.24499893,16.60593796,26.71093941,29.56363297,55.35251617,49.58781052,30.19400787,40.64186859,70.0582962,20.35470772,23.00789642,28.67588615,29.69382286,93.85702515,25.3066082,13.01165295,1.62,1.28
2013-01-08,1457.150024,13328.84961,3091.810059,8604.379883,13.61999989,2276.070068,1.312508225,87.25299835,1.612201095,0.059999999,0.785000026,1.871000051,34.91833115,61.14987564,81.90904236,33.74306107,42.70782471,22.73265457,19.39656639,21.54663658,13.74788761,43.33048248,27.89877129,17.10897064,24.04893494,52.24259567,34.91154861,16.17009163,21.01197052,20.50082016,13.34544754,28.39851761,24.59932137,22.1497097,5.089420795,21.72628975,16.27597237,22.18033028,266.3800049,6.736000061,367.0170288,365.2808228,29.05999947,2.887729883,35.39032745,55.82203674,44.44381714,51.81580734,52.08708191,37.35915756,10.41668129,49.06138611,17.80068398,60.23097229,46.14554977,15.55245972,25.56381607,38.13999939,74.85527802,54.39502716,63.28946686,27.83993721,22.68790245,16.29876709,13.88000011,27.96131897,57.71615219,83.81361389,42.49250031,16.48090172,26.66484451,28.84420395,55.50627518,49.51032639,30.23703384,40.94970322,70.08143616,20.01099205,22.76462364,28.47350121,29.7109108,94.51268768,25.01325989,13.14997196,1.71,1.33
2013-01-09,1461.02002,13390.50977,3105.810059,8636.099609,13.81000042,2275.340088,1.308232665,86.86799622,1.606167674,0.055,0.760999978,1.851999998,35.12225342,61.37970734,82.0069046,33.80825424,42.79889679,22.79417038,19.40267563,21.56104279,13.93641281,43.63604736,28.06712341,17.19553566,24.19400597,52.50431061,35.04509354,16.2748661,21.13808441,20.52549553,13.3830843,28.47223282,24.80909348,22.1497097,5.122308254,21.86775589,16.02158737,22.3056469,266.3500061,6.728000164,369.4294434,367.6818237,30.59000015,2.822991848,35.36698532,56.07217407,45.282547,51.77482605,52.36839294,37.92881775,9.938455582,50.44182968,18.10853004,59.99951172,46.16372681,15.54479694,26.12924385,38.65999985,75.04710388,54.66833115,65.47419739,27.83241844,22.81578064,16.40981102,13.70142937,28.1457653,58.1242981,83.85504913,42.95750046,16.76222229,26.66484451,28.77728653,55.49009323,50.26178741,30.53093338,41.81005859,69.98122406,19.94691277,22.7863369,29.5200119,29.79633904,94.50437164,25.37002754,13.05775547,1.78,1.41
2013-01-10,1472.119995,13471.21973,3121.76001,8713.75,13.48999977,2283.656982,1.305483103,88.13300323,1.601537466,0.055,0.792999983,1.894000053,35.43598175,61.74740982,82.10475922,33.91906738,43.14181137,22.90491104,19.53707695,21.76995277,14.00662041,44.09439087,28.09869003,17.46310997,24.42330742,53.18816376,35.33327484,16.42329597,21.31324196,20.59952927,13.46588039,28.58691597,24.97045135,22.17819214,5.182575703,22.13122368,16.22019768,22.10514832,265.3399963,6.705999851,371.1111145,369.3555603,31.29999924,2.827615738,35.89591599,56.43176651,45.92238998,52.14365768,52.66488647,37.6287384,10.24278069,49.99273682,18.30692863,60.65301895,46.17282104,15.6520052,26.69468117,38.61999893,75.68427277,55.29301071,65.29051208,27.77980232,22.88308525,16.44398689,14.0,28.38052368,57.61619568,83.4491272,43.27999878,17.03573036,27.19492149,29.17213821,55.32014084,50.18430328,30.66714287,42.03105927,70.43590546,20.02264786,22.82977295,29.61381149,30.36868286,94.76167297,25.71094131,13.18500996,1.75,1.4
2013-01-11,1472.050049,13488.42969,3125.629883,8712.400391,13.35999966,2242.99707,1.327316165,89.2460022,1.616292119,0.063000001,0.782000005,1.875,35.16931152,61.83014679,82.10475922,33.92559052,43.1632309,22.89875793,19.54929543,21.81317711,13.94941235,44.2538147,28.11447144,17.60476685,24.54966164,53.13750839,35.26298523,16.43202591,21.3762989,20.56497574,13.48846245,28.55414772,24.96238327,22.21616745,5.197704792,22.1948185,16.12074089,22.41425323,267.9400024,6.581999779,370.3653564,368.6133423,31.71999931,2.822991848,35.888134,56.55682755,45.67163467,52.20923233,52.62687683,37.78113174,10.11235714,50.09033585,18.14273834,61.00020218,45.98191833,15.68263531,27.34771347,38.09000015,76.54750824,55.34767532,65.30018616,27.74223328,23.05334282,16.42690086,14.47000027,28.09428596,58.20760727,83.0681076,43.33750153,17.19202614,26.96445847,28.97805977,55.5386467,50.2772789,30.98972511,41.92055893,70.69021606,19.96438789,23.06872559,29.51015091,30.60788345,94.61225891,25.70300865,13.2385006,1.77,1.4
2013-01-14,1470.680054,13507.32031,3117.5,8717.44043,13.52000046,2311.73999,1.336201668,89.52300262,1.612695098,0.059999999,0.768000007,1.856999993,35.31048965,61.55435944,82.10475922,33.93212891,43.10965729,22.89261055,19.58594894,21.75554848,14.00271797,44.38002396,28.19863701,17.57328796,24.70409584,53.3316803,35.28407288,16.43202591,21.47438812,20.56497574,13.42071819,28.49681091,24.8897686,22.13072014,5.149687767,21.99235153,15.54599476,22.46438026,272.730011,6.65199995,361.9869995,360.2745972,30.95000076,2.820680141,35.68589783,56.72099304,46.13856888,52.02891159,52.93858719,37.66156387,9.973237991,49.60050201,18.29324341,60.9797554,45.99100494,16.05785751,27.53087616,38.15999985,77.31481934,55.66784286,65.30984497,27.80235481,23.21679306,16.62336922,14.77857113,28.08586502,58.19093704,83.14264679,43.50249863,17.19202614,26.71093941,28.50288582,55.27159882,49.76597595,31.06857491,41.67586899,70.53609467,19.81874847,23.1078186,29.41635704,30.22345543,94.69526672,25.6395874,13.22190189,1.76,1.38
2013-01-15,1472.339966,13534.88965,3110.780029,8733.099609,13.55000019,2325.681885,1.337792635,89.45999908,1.607717037,0.079999998,0.745000005,1.83099997,35.17715073,61.25101852,82.20262146,33.95819473,43.17396545,22.94182968,19.64704132,21.78435707,13.9780159,44.26709747,28.33543205,17.51032829,24.87723923,53.28103256,35.38949966,16.42329597,21.69858932,20.65874863,13.36050224,28.62786674,24.83329391,22.35857964,5.100356102,21.78599167,15.05552578,22.73171043,271.8999939,6.78000021,362.8278198,361.1114807,30.10000038,2.769815683,36.05146027,56.57246017,46.36337662,52.41412735,53.12866211,37.61467743,10.04279613,49.53322601,18.2111454,60.94574356,46.44555664,16.06551361,26.97340775,38.15000153,77.71907043,55.90988922,65.48387146,28.05038834,23.56412697,16.74296761,14.52714252,27.7996254,58.51578903,83.78875732,43.66249847,17.09825134,26.97213364,28.08796692,55.82189178,49.92091751,30.73165703,42.06264877,70.5206604,19.6672802,23.30331421,29.61381149,30.69330215,94.45458221,25.59201431,13.25693798,1.8,1.41
