"emission_bse_code_new","pcs_date","pcs_price","free_float_shares_count","emission_shares_count"
"EUBG","2021-07-19",2.5,57535412,260500000
"EUBG","2021-07-20",2.56,59882408,260500000
"EUBG","2021-07-21",2.5,59882408,260500000
"EUBG","2021-07-22",2.54,61642408,260500000
