Date;^GSPC;^DJI;^IXIC;^NYA;^VIX;EURUSD=X;JPY=X;GBPUSD=X;^IRX;^FVX;^TNX;VWO;DWCR;QQQ;KWIAX;FRQIX;DODBX;NELIX;IUASX;IPFPX;JLCYX;BIPIX;OGLYX;ARAIX;IWIRX;CNPIX;VWILX;OAKMX;PAGSX;OPGIX;PARNX;RYOCX;POGSX;FDYNX;BPTRX;UOPIX;RYVLX;BTC-USD;ETH-USD;AAPL;MSFT;AMZN;TSLA;GOOGL;GOOG;FB;NVDA;JPM;JNJ;UNH;HD;PG;V;BAC;MA;PFE;XOM;DIS;CSCO;AVGO;ADBE;CVX;PEP;TMO;KO;ABBV;CMCSA;NFLX;ABT;ACN;COST;CRM;INTC;WFC;VZ;PYPL;WMT;QCOM;MRK;LLY;MCD;T;NKE;DHR;LOW;LIN;TXN;NEE
2018-02-07;2681.659912;24893.34961;7051.97998;12687.17969;27.72999954;1.238129497;109.6269989;1.395868182;1.514999986;2.565000057;2.844000101;41.74173355;29.96500206;155.9259491;93.48590851;48.47193146;74.75793457;43.198452;37.62728882;37.69774628;42.04739761;46.33080292;75.4287796;54.65029526;32.78418732;48.61444092;77.86319733;72.31026459;30.57221222;53.19652557;39.03692245;30.90924835;60.4160881;54.41205597;44.71426773;22.65392113;106.2178802;7621.299805;757.0679932;38.1467514;85.17780304;1416.780029;69;1055.410034;1048.579956;180.1799927;56.67584229;100.6437149;118.1700363;212.5733643;174.2650604;73.35887146;116.6611252;28.66772461;165.2287292;28.83036041;61.5055542;101.8796158;35.81647491;202.8024139;192.3399963;95.92518616;100.7232742;205.4808655;39.13246918;93.29117584;36.98270416;264.5599976;55.01393127;145.936676;172.1553497;110.0500031;41.19032669;51.28069687;42.79423523;75.58999634;95.33821106;57.76380157;47.10254288;70.67710114;150.520813;28.37611008;63.13582993;93.51499176;93.23896027;139.6981812;92.2746582;33.81776047
2018-02-08;2581;23860.46094;6777.160156;12270.65039;33.45999908;1.226813316;109.1959991;1.387925029;1.514999986;2.568000078;2.851000071;40.35063553;28.86685944;149.3467255;92.70303345;47.94033051;73.0300827;41.94503403;36.6891861;36.36100006;40.37865067;43.42011261;72.89953613;52.89427948;31.6774559;46.53501892;75.5242691;69.50162506;29.46333504;51.75137329;37.62165833;29.60957718;58.0570755;52.06190872;42.69219208;20.75017166;97.30231476;8265.589844;817.8070068;37.09708405;80.80531311;1350.5;63.04600143;1007.710022;1001.52002;171.5800018;53.88167572;96.1942215;113.6202011;203.7624207;165.0913086;71.90674591;111.0157318;27.28249931;157.2870483;27.71769905;60.8100853;98.56336975;34.4225235;196.1300354;185.1600037;93.43742371;97.7503891;196.7487946;37.85029984;89.07080841;35.17731857;250.1000061;52.76349258;141.5722198;167.8512268;104.0299988;38.95767212;49.37348557;41.14152908;72.31999969;92.71488953;55.43690872;46.13317871;68.36478424;144.3985748;27.33111763;60.11516571;90.48127747;88.65726471;134.1665192;88.36580658;33.17835999
2018-02-09;2619.550049;24190.90039;6874.490234;12405.82031;29.05999947;1.226076245;108.5289993;1.393495083;1.524999976;2.516000032;2.828999996;40.96092987;28.46198273;151.9258575;93.03575897;48.01748276;73.37146759;42.3694191;36.89588928;36.63731384;40.87187576;44.32627106;73.49510956;53.1996727;32.16119385;46.98845673;76.33850861;70.32571411;29.76788521;51.9070015;38.05028152;30.12237167;59.02948761;52.94910812;42.8768158;21.46496391;100.6476974;8736.980469;883.8649902;37.55083847;83.81851959;1339.599976;62.08399963;1046.27002;1037.780029;176.1100006;57.48832703;98.12026215;116.4705734;207.9984283;167.7331848;71.63784027;113.4142914;27.82374382;161.7720032;28.15452003;61.19771957;100.2555313;35.09729767;201.196228;187.9900055;94.43585968;98.66443634;198.1843109;37.87663651;91.38626862;35.52733994;249.4700012;53.6074028;144.7044678;169.8341522;106.9800034;40.05122757;50.02408218;41.84623337;74.75;92.11235809;56.83126831;46.25118637;70.22567749;146.0608521;27.6999321;63.00115585;92.73937225;90.67282867;139.2046051;90.92647552;33.82004547
2018-02-12;2656;24601.26953;6981.959961;12560.12012;25.61000061;1.225279927;108.8000031;1.382743359;1.534999967;2.555000067;2.857000113;41.52633667;29.05784035;154.6217651;93.2314682;48.23184586;74.0124588;42.71484756;37.26953125;36.95096588;41.48018265;45.04021454;74.53929138;53.94788742;32.65226364;47.90450287;77.5838089;71.33480835;30.19738007;52.84079742;38.52742767;30.64400864;59.68677521;53.80799866;43.61531067;22.20806122;104.1157761;8621.900391;860.414978;39.06333923;84.7215271;1386.22998;63.14599991;1054.560059;1051.939941;176.4100037;56.48509979;99.63611603;117.1359711;212.4509735;167.6785278;72.90171051;115.5106049;28.54846954;164.6999512;28.56662369;61.71456528;100.547287;36.0473175;208.7998505;192.1499939;94.83522034;99.33001709;202.4711914;38.61433792;91.90354919;35.49970627;257.9500122;53.83244324;145.7485809;170.1536102;108.5500031;40.85315704;50.35382462;42.03918839;75.27999878;92.27923584;58.31444931;46.72322083;70.24411774;148.876709;27.94582176;63.47253799;93.67208862;91.24204254;143.1811218;92.23849487;34.25392532
2018-02-13;2662.939941;24640.44922;7013.509766;12574.37012;24.96999931;1.230375528;108.6900024;1.385233402;1.570000052;2.549000025;2.839999914;41.84943008;29.05784035;155.4198761;93.26083374;48.2747345;74.13088226;43.02080154;37.28543472;36.9957695;41.52128983;45.12259674;74.53929138;54.17692566;32.69623566;47.95488739;77.90310669;71.43572235;30.32232666;52.86303329;38.45464706;30.78546906;59.96589661;54.09115219;44.20434952;22.41683769;105.0645828;8129.970215;814.6599731;39.45466232;85.38689423;1414.51001;64.73200226;1054.140015;1052.099976;173.1499939;57.62454987;100.2513962;116.8572388;213.3452454;167.3687744;73.05410004;115.3935776;28.6035099;166.5899048;28.79739952;61.61765671;101.2572174;36.60667038;210.0471649;193.4799957;94.26112366;99.51635742;201.4712524;38.80752945;91.84606171;35.88657761;258.269989;54.04811096;147.5263214;173.0575409;107.6900024;40.51597595;51.69065094;42.01402283;74.97000122;93.60477448;58.34996796;46.27647781;70.20727539;147.5141907;28.12254333;63.36671066;93.24992371;89.63704681;143.2556;91.36985779;34.49826431
2018-02-14;2698.629883;24893.49023;7143.620117;12746.71973;19.26000023;1.235376239;107.7639999;1.388696074;1.549999952;2.640000105;2.913000107;42.71100616;29.58590698;158.329895;93.38805389;48.46335602;74.89728546;43.50440598;37.69883728;37.69028473;42.40087509;46.22097015;75.83872986;55.35269547;33.42184067;48.28466415;79.64333344;72.57936096;30.81429291;54.54533768;39.06118011;31.36899567;61.0733757;55.15768433;45.00439072;23.26609612;109.0725021;8926.570313;868.7069702;40.18209839;86.7239151;1451.050049;64.46199799;1072.699951;1069.699951;179.5200043;59.8019104;102.5697479;116.5964813;215.3596954;168.2524872;72.31907654;117.8116302;29.35575104;168.9401093;29.00344276;61.74687576;101.7240219;37.37023544;211.5849915;197.1300049;94.54400635;96.82746124;206.2332764;38.72848892;92.84778595;36.31949997;266;54.64822769;150.3011475;176.0647583;109.0199966;41.35436249;53.07203674;41.53583145;77.26999664;94.27218628;59.14040375;46.27647781;71.49080658;145.325119;27.97655487;65.37728119;94.34951782;90.44889069;144.4103546;92.90805817;34.27219772
2018-02-15;2731.199951;25200.36914;7256.430176;12856.87012;19.12999916;1.246727347;106.586998;1.401581049;1.559999943;2.63499999;2.891000032;43.509758;29.92012405;161.2691345;93.42719269;48.68629837;75.39891815;43.68205261;37.90553665;37.95912552;42.72968674;47.00356293;76.94478607;55.78788757;33.98620224;49.25108719;80.80083466;73.27732849;31.25940514;55.01223755;39.27144623;31.93484116;61.53256989;56.02601242;45.47034836;24.10827637;112.9904404;8598.30957;845.2579956;41.53134918;88.49066925;1461.76001;66.81400299;1091.359985;1089.52002;179.9600067;61.06027985;102.9977493;117.999176;212.7616119;168.7808685;73.86979675;119.4329834;29.54839516;171.0650787;29.43202972;61.54496384;102.2880707;39.13707733;215.1475525;202.9700012;94.5608139;98.47807312;208.6192474;39.32566833;94.34214783;36.91822815;280.269989;55.79220581;151.4957275;180.4274902;113.1200027;41.84646225;53.49091339;41.72878265;78.29499817;95.69046021;57.97695541;47.19526291;72.40960693;146.0426941;28.42988777;65.69473267;95.69455719;90.05697632;145.0901642;94.61819458;35.26555634
2018-02-16;2732.219971;25219.38086;7239.470215;12874.36035;19.45999908;1.250359535;106.1110001;1.410417318;1.570000052;2.625999928;2.877000093;43.34821701;29.86951447;160.5489349;93.4369812;48.72916031;75.49645996;43.58335876;37.90553665;38.07861328;42.68858719;47.18890762;76.86743164;55.79552841;33.92756653;49.08162308;80.54538727;73.26891327;31.21255112;54.95294571;39.2795372;31.81105995;61.66762924;55.85612106;45.56705856;23.92073059;112.1397781;9494.629883;923.5609741;41.39690018;87.86035919;1448.689941;67.09799957;1095.5;1094.800049;177.3600006;60.40137482;102.2576447;119.7256241;215.9151154;170.3295441;74.04010773;119.0129929;29.3282299;172.0051422;29.88533401;61.8114624;103.6009598;39.35905457;212.6358032;201.5599976;94.23308563;98.55793762;208.5103455;39.50130463;97.38014221;36.65110397;278.519989;56.42045212;153.0007477;180.5028839;112.8600006;41.51839447;53.42853165;42.07274628;78.37000275;97.12724304;57.59506226;47.44813919;73.29131317;143.3267822;28.53746986;65.70435333;95.76327515;89.87033844;143.0507507;94.52770996;35.63550186
2018-02-20;2716.26001;24964.75;7234.310059;12763.33984;20.60000038;1.241187572;106.2610016;1.403154373;1.572999954;2.648000002;2.892999887;42.96229553;29.60214043;160.8701324;93.39783478;48.61768723;75.27351379;43.42544937;37.7862854;37.81723785;42.38443375;46.65345001;76.37242126;55.49012756;33.92756653;48.15641785;80.08238983;72.97458649;31.07979965;54.74543762;39.0854454;31.85526848;61.43353271;56.03544617;45.57585144;23.98442459;112.4260559;10166.40039;936.9760132;41.25765991;88.54797363;1468.349976;66.95400238;1103.589966;1102.459961;176.0099945;61.69938278;102.2843933;117.6754684;213.3640747;170.0926514;72.91065979;119.169281;29.29153633;171.7113495;29.67928696;61.17348862;103.0660782;39.11933517;213.2594757;202.9799957;93.25832367;97.1558075;205.7679901;38.63189316;96.87107086;36.35634232;278.5499878;55.43588257;151.8531952;177.2614746;114.3499985;42.21098328;53.42853165;41.04085159;77.05999756;87.23654175;56.83126831;46.34390259;71.97340393;142.7545013;28.25317001;64.92514801;95.08583832;89.2544632;143.0414124;95.26966858;35.12398148
2018-02-21;2701.330078;24797.7793;7218.22998;12695.53027;20.02000046;1.239864111;106.7089996;1.399266839;1.60800004;2.678999901;2.943000078;42.90844727;29.54198265;160.412674;93.38805389;48.48051453;75.03663635;43.44518661;37.62728882;37.69774628;42.31867218;46.39258957;76.22545624;55.22290802;33.86160278;47.61594772;79.97862244;72.66345978;31.02513504;54.75284576;39.13396454;31.75801086;61.28046036;55.92219162;45.56705856;23.84288216;111.7471542;10233.90039;944.210022;41.07039261;87.37332153;1482.920044;66.66000366;1113.75;1111.339966;177.9100037;59.82421875;102.7124023;116.8122711;211.9238586;166.7675323;71.92467499;117.6260605;29.23649216;168.7442627;29.47323799;60.47898102;102.1616516;38.45343399;212.4051666;202.0899963;91.64491272;95.84240723;207.6985321;38.06106567;96.81362152;35.93262863;281.0400085;55.31399155;150.931366;175.028244;114.4800034;41.86468506;53.23246384;40.235466;76.51000214;84.83569336;56.30728531;45.98146057;71.97340393;144.0988312;27.89971542;64.50185394;95.57673645;88.96518707;142.2405701;93.79480743;34.65583801
