Date,Adj Close,rsi,Close,^GSPC,macd,ma_7,EURUSD=X,^VIX,ETH-USD,LIN,^DJI,GBPUSD=X,Volume,MRK,QCOM,NELIX,KO,bolu,WFC,NKE,ABBV,CSCO,PFE,High,INTC,JPY=X,ewm,MCD,^TNX,BTC-USD,BIPIX
2018-02-08,36.63189697265625,44.56275530047662,41.34999847412109,2581.0,0.2790929493266603,37.078643798828125,1.226813316,33.45999908,817.8070068,134.1665192,23860.46094,1.387925029,4495200.0,46.13317871,55.43690872,41.94503403,37.85029984,43.85140380144157,49.37348557,60.11516571,89.07080841,34.4225235,27.71769905,42.400001525878906,38.95767212,109.1959991,36.93836169018362,144.3985748,2.851000071,8265.589844,43.42011261
2018-02-09,36.75592422485352,45.62428331411084,41.4900016784668,2619.550049,0.2306603443765666,36.89386967250279,1.226076245,29.05999947,883.8649902,139.2046051,24190.90039,1.393495083,5540600.0,46.25118637,56.83126831,42.3694191,37.87663651,43.80139153338948,50.02408218,63.00115585,91.38626862,35.09729767,28.15452003,41.81999969482422,40.05122757,108.5289993,36.9217764660627,146.0608521,2.828999996,8736.980469,44.32627106
2018-02-12,36.56102752685547,44.19226642460614,41.27000045776367,2656.0,0.1745386484143836,36.74326705932617,1.225279927,25.61000061,860.414978,143.1811218,24601.26953,1.382743359,6433500.0,46.72322083,58.31444931,42.71484756,38.61433792,43.752762482948825,50.35382462,63.47253799,91.90354919,36.0473175,28.56662369,41.7400016784668,40.85315704,108.8000031,36.88898110795295,148.876709,2.857000113,8621.900391,45.04021454
2018-02-13,36.623043060302734,44.78612224861645,41.34000015258789,2662.939941,0.133526722355306,36.73187746320452,1.230375528,24.96999931,814.6599731,143.2556,24640.44922,1.385233402,2449900.0,46.27647781,58.34996796,43.02080154,38.80752945,43.72420462804312,51.69065094,63.36671066,91.84606171,36.60667038,28.79739952,41.41999816894531,40.51597595,108.6900024,36.86480492180293,147.5141907,2.839999914,8129.970215,45.12259674
2018-02-14,37.04827117919922,48.808567071943706,41.81999969482422,2698.629883,0.133794530826627,36.88627733503069,1.235376239,19.26000023,868.7069702,144.4103546,24893.49023,1.388696074,3644400.0,46.27647781,59.14040375,43.50440598,38.72848892,43.67944874579222,53.07203674,65.37728119,92.84778595,37.37023544,29.00344276,41.95000076293945,41.35436249,107.7639999,36.88148367247532,145.325119,2.913000107,8926.570313,46.22097015
2018-02-15,38.27081298828125,58.23027948814444,43.20000076293945,2731.199951,0.2300043309992929,37.038146427699495,1.246727347,19.12999916,845.2579956,145.0901642,25200.36914,1.401581049,3873100.0,47.19526291,57.97695541,43.68205261,39.32566833,43.6875769945199,53.49091339,65.69473267,94.34214783,39.13707733,29.43202972,43.20000076293945,41.84646225,106.586998,37.00778633754858,146.0426941,2.891000032,8598.30957,47.00356293
2018-02-16,38.50740432739258,59.77328313268549,43.130001068115234,2732.219971,0.3216346307673987,37.199768611363005,1.250359535,19.45999908,923.5609741,143.0507507,25219.38086,1.410417318,3062400.0,47.44813919,57.59506226,43.58335876,39.50130463,43.7165522481509,53.42853165,65.70435333,97.38014221,39.35905457,29.88533401,43.43000030517578,41.51839447,106.1110001,37.144115245716215,143.3267822,2.877000093,9494.629883,47.18890762
2018-02-20,38.00743103027344,55.13787421726887,42.56999969482422,2716.26001,0.3498754900090546,37.39627347673689,1.241187572,20.60000038,936.9760132,143.0414124,24964.75,1.403154373,4532900.0,46.34390259,56.83126831,43.42544937,38.63189316,43.75191431748792,53.42853165,64.92514801,96.87107086,39.11933517,29.67928696,43.18000030517578,42.21098328,106.2610016,37.22259849885778,142.7545013,2.892999887,10166.40039,46.65345001
2018-02-21,37.605655670166016,51.67017031958259,42.119998931884766,2701.330078,0.3359638781811682,37.5176636832101,1.239864111,20.02000046,944.210022,142.2405701,24797.7793,1.399266839,3960600.0,45.98146057,56.30728531,43.44518661,38.06106567,43.73447677979666,53.23246384,64.50185394,96.81362152,38.45343399,29.47323799,42.79999923706055,41.86468506,106.7089996,37.25742187806762,144.0988312,2.943000078,10233.90039,46.39258957
2018-02-22,37.28424072265625,49.014442808547045,41.7599983215332,2703.959961,0.2955958801878182,37.62097985403879,1.233532429,18.71999931,974.1149902,143.1066132,24962.48047,1.400109172,3367800.0,45.99830627,55.22376251,43.44518661,38.21913528,43.6695338289358,52.41254425,64.57881165,96.52622986,38.12491989,29.45675087,42.34999847412109,41.73710632,107.3809967,37.2598599548484,145.9337006,2.917000055,11112.7002,45.96696854
2018-02-23,38.00743103027344,54.66103509755904,42.56999969482422,2747.300049,0.31829031222302,37.8187495640346,1.228184342,16.48999977,923.9210205,144.9225616,25309.99023,1.39101398,2782700.0,46.25118637,56.23622131,43.73139954,38.67580414,43.58516667685667,52.73337936,65.56967163,97.50330353,39.06605911,29.88533401,42.66999816894531,43.49589539,107.5550003,37.327820961705214,148.1136932,2.871000051,10551.7998,47.32621002
2018-02-26,37.65029525756836,51.62065281199017,42.16999816894531,2779.600098,0.3039541467673103,37.904753003801616,1.232665658,15.80000019,943.8649902,145.1181641,25709.26953,1.395303369,3530000.0,47.25426483,59.48678589,44.17552185,38.66702652,43.438585948657234,53.44635773,67.00304413,99.79412842,40.27355576,30.56941986,42.630001068115234,44.753479,106.814003,37.357136806783686,148.5860443,2.858999968,11225.2998,48.00582504
2018-02-27,37.177093505859375,47.82486628693818,41.63999938964844,2744.280029,0.2515099554988182,37.74850736345564,1.228712559,18.59000015,895.3709717,143.4139404,25410.0293,1.396804214,4807000.0,46.12474823,59.42407608,43.95839691,38.30695343,43.270671240187006,52.76902771,65.44461823,97.10099792,39.98943329,30.33040047,42.45000076293945,45.48251343,107.0739975,37.34076923397239,145.9337006,2.907999992,11403.7002,46.93490982
2018-02-28,37.06997299194336,46.98264400283835,41.52000045776367,2713.830078,0.1990097651555729,37.54316002982004,1.231557369,19.85000038,849.9710083,139.4560699,25029.19922,1.396648049,4734600.0,45.70328522,58.22376633,43.79061508,37.95568466,43.207510916477226,52.05606461,64.48262024,95.1057663,39.7585907,29.92654037,42.4900016784668,44.91750717,107.0690002,37.31615139378793,144.1877747,2.868000031,10690.40039,45.50016022
2018-03-01,36.82890319824219,45.05948998126194,41.25,2677.669922,0.1363785810283815,37.374798910958425,1.223032117,22.46999931,812.8449707,137.7518768,24608.98047,1.390607834,4347500.0,45.26497269,58.18793488,43.43531418,38.1401062,43.09255798054867,51.0757103,63.79961777,93.47181702,38.88848495,29.36608887,41.77000045776367,43.596138,107.4260025,37.271856103283774,142.3230286,2.803999901,10005.0,44.61459732
2018-03-02,37.67708587646485,52.43651958354133,42.20000076293945,2691.25,0.1534156893792087,37.38500322614397,1.219125628,19.59000015,864.1890259,139.1580811,24538.06055,1.375421166,4065000.0,45.82129288,57.9908638,43.5537529,38.39477539,43.01921088344946,51.16482544,63.57767105,94.45709991,39.11933517,29.6298275,42.25,44.63500977,106.6399994,37.30869517357296,135.5314026,2.857000113,10301.09961,45.8914566
2018-03-05,38.14134979248047,55.92503785638322,42.720001220703125,2720.939941,0.2020508223917403,37.507447378976,1.227084279,18.72999954,840.5150146,142.2405701,24874.75977,1.37754333,4706000.0,45.85501862,57.3369751,43.46492767,38.5440712,43.07622391665804,51.32526016,62.76715851,94.96617889,39.52774811,29.76994896,42.84999847412109,45.33670044,106.163002,37.38439104801909,138.0542755,2.881000042,9813.070313,46.57107162
2018-03-06,38.49848175048828,58.44962733068967,43.119998931884766,2728.120117,0.2663418569019882,37.57759748186384,1.23154223,18.36000061,844.8099976,143.865036,24884.11914,1.379500628,2782300.0,45.77072525,55.66192245,43.59322739,38.57919693,43.2040806281601,50.86182022,62.95048141,94.06298065,39.32353973,29.57213783,43.380001068115234,46.21154404,105.5559998,37.48567202097083,138.2096863,2.877000093,9664.730469,46.54361725
2018-03-07,38.41812133789063,57.649439331804864,43.02999877929688,2726.800049,0.3072665734546334,37.68728692190988,1.233654141,17.76000023,869.3150024,145.222702,24801.35938,1.385233402,3390100.0,45.91402435,55.97542953,43.38596725,38.48260498,43.33538975855022,50.44294357,61.91802597,94.19436646,39.24362946,29.61334801,43.400001525878906,46.76742935,106.25,37.570440140690806,139.2882996,2.882999897,10366.7002,46.77014923
2018-03-08,38.65026092529297,59.379446328198846,43.290000915527344,2738.969971,0.3543467421310566,37.89773941040039,1.241665363,16.54000092,878.2650146,147.8256683,24895.21094,1.390008569,2670900.0,46.15846634,55.37527847,43.28727722,39.03586578,43.43083647651273,50.54990387,62.82504654,96.07463837,39.36793137,30.08314323,43.29999923706055,46.23887253,105.5370026,37.66860566656373,141.1712952,2.865999937,10725.59961,47.46350479
2018-03-09,38.6591911315918,59.448073665911366,43.29999923706055,2786.570068,0.387907155788767,38.12477057320731,1.241464972,14.64000034,855.1989746,149.8949432,25335.74023,1.390627146,4696500.0,46.47878647,56.45913696,43.85969925,39.36079788,43.58796607998995,51.8956337,63.97327423,97.94670105,40.28242111,30.30567169,43.75,47.56025314,106.185997,37.75865889065719,143.7307739,2.894000053,10397.90039,48.66485214
2018-03-12,39.75735855102539,66.86229416245357,44.52999877929688,2783.02002,0.4973834317912065,38.54312133789063,1.2306633,15.77999973,872.2000122,150.8499908,25178.60938,1.380567074,7438300.0,46.6642189,56.2620697,43.49453354,39.10611343,43.9902483246815,51.70848465,64.47503662,97.13382721,40.4422493,30.17379951,44.9900016784668,46.94968033,106.4059982,37.94035885978157,144.1877747,2.869999886,10951.0,48.54815292
