Date,Adj Close,^GSPC,WFC,^IRX,JPY=X,macd,^VIX,Volume,Volume,PFE,^VIX,^VIX
2013-01-02,22.33302116394043,1462.420044,26.92604637,0.055,86.59999847,0.2482354114391363,14.68000031,6677100.0,6677100.0,17.72542572,14.68000031,14.68000031
2013-01-03,22.15385627746582,1459.369995,26.70326614,0.064999998,87.27500153,0.2814816572004552,14.56000042,3970700.0,3970700.0,17.68438148,14.56000042,14.56000042
2013-01-04,22.761449813842773,1466.469971,26.8415432,0.064999998,87.73999786,0.3527905175255696,13.82999992,5842400.0,5842400.0,17.7596302,13.82999992,13.82999992
2013-01-07,21.818891525268555,1461.890015,26.71093941,0.057999998,88.19799805,0.3294490429934527,13.78999996,8339200.0,8339200.0,17.77331924,13.78999996,13.78999996
2013-01-08,22.07596206665039,1457.150024,26.66484451,0.059999999,87.25299835,0.327914209632727,13.61999989,3880400.0,3880400.0,17.80068398,13.61999989,13.61999989
2013-01-09,22.18501663208008,1461.02002,26.66484451,0.055,86.86799622,0.3316743002860036,13.81000042,3831000.0,3831000.0,18.10853004,13.81000042,13.81000042
2013-01-10,22.07596206665039,1472.119995,27.19492149,0.055,88.13300323,0.3221409666577308,13.48999977,3469900.0,3469900.0,18.30692863,13.48999977,13.48999977
2013-01-11,22.07596206665039,1472.050049,26.96445847,0.063000001,89.2460022,0.3110007084970299,13.35999966,2874100.0,2874100.0,18.14273834,13.35999966,13.35999966
2013-01-14,22.24733161926269,1470.680054,26.71093941,0.059999999,89.52300262,0.3123989240097486,13.52000046,2463700.0,2463700.0,18.29324341,13.52000046,13.52000046
2013-01-15,22.138277053833008,1472.339966,26.97213364,0.079999998,89.45999908,0.3012347808129618,13.55000019,3031400.0,3031400.0,18.2111454,13.55000019,13.55000019
2013-01-16,22.11490631103516,1472.630005,26.95677757,0.071999997,88.75,0.287190737221195,13.42000008,2594000.0,2594000.0,18.20430756,13.42000008,13.42000008
2013-01-17,22.4187068939209,1480.939941,26.91068077,0.07,88.62999725,0.297149544583533,13.56999969,3913800.0,3913800.0,18.35481644,13.56999969,13.56999969
