Date;^GSPC;^DJI;^IXIC;^NYA;^VIX;EURUSD=X;JPY=X;GBPUSD=X;^IRX;^FVX;^TNX;VWO;QQQ;KWIAX;FRQIX;DODBX;IUASX;IPFPX;BIPIX;OGLYX;IWIRX;CNPIX;VWILX;OAKMX;PAGSX;OPGIX;PARNX;RYOCX;POGSX;FDYNX;BPTRX;UOPIX;RYVLX;AAPL;MSFT;AMZN;GOOGL;GOOG;NVDA;BRK-B;JPM;JNJ;UNH;HD;PG;V;BAC;MA;PFE;XOM;DIS;CSCO;AVGO;ADBE;CVX;PEP;TMO;KO;CMCSA;NFLX;ABT;ACN;COST;CRM;INTC;WFC;VZ;WMT;QCOM;MRK;LLY;MCD;T;NKE;DHR;LOW;LIN;TXN;NEE
04.01.2010;1132.98999;10583.95996;2308.419922;7326.740234;20.04000092;1.442397833;92.49500275;1.611369848;0.055;2.65199995;3.84100008;31.21050262;41.3716011;82.8917923;27.15713501;32.59605789;18.16158676;14.91607285;6.872643471;31.82482529;10.89596844;14.14996719;38.58615112;24.62953186;12.43946838;17.53526688;13.97864723;8.921790123;20.66729546;18.26543427;13.86004734;2.387331486;11.14424801;6.553024292;23.90498924;133.8999939;313.6886902;312.2047729;4.246277332;66.22000122;31.52403641;45.44189072;26.31593132;21.65437889;42.24033356;20.24674225;13.47197247;24.14599991;11.48944855;43.66439056;27.93392181;17.97751427;14.3423624;37.09000015;48.96865845;43.03495407;45.48674393;19.64614868;6.769777298;7.639999866;19.77883148;33.33429718;44.22290421;18.70499992;14.5767355;19.95396614;17.53871918;40.96363831;34.30083466;23.31176567;24.38134384;44.44550705;14.09975052;14.1397419;27.10516167;18.62826538;63.58752441;19.29799652;9.302843094
05.01.2010;1136.52002;10572.01953;2308.709961;7354.870117;19.35000038;1.436595917;91.58499908;1.599078894;0.059999999;2.558000088;3.755000114;31.31355095;41.3716011;82.98451996;27.25452232;32.70655823;18.19649124;14.91019154;6.8102355;31.78374863;10.89596844;14.27534676;38.61397934;24.67550659;12.44704914;17.5611496;14.0260458;8.92899704;20.74021149;18.29629898;13.92137623;2.392073154;11.16014671;6.564356327;23.91270638;134.6900024;312.307312;310.8299255;4.308282852;66.54000092;32.13465118;44.91494751;26.27420998;21.81298447;42.25415039;20.01473618;13.90987778;24.07454872;11.32557583;43.8348732;27.86423683;17.89742088;14.4488306;37.70000076;49.3155365;43.55499268;45.63995743;19.40849686;6.678025723;7.358571053;19.61902809;33.54030991;44.08890152;18.625;14.56975079;20.50175095;17.5703392;40.5557518;35.12656021;23.40624237;23.95252609;44.10568237;14.03068256;14.1960001;27.07269859;18.43522835;62.40246964;19.18670845;9.211996078
06.01.2010;1137.140015;10573.67969;2301.090088;7377.700195;19.15999985;1.440403342;92.35600281;1.602384329;0.045000002;2.572999954;3.808000088;31.50493622;41.12206268;83.26266479;27.30321693;32.76682663;18.24302864;14.93371677;6.920749187;31.82482529;10.89596844;14.32012749;38.76009369;24.63609886;12.50011063;17.58703232;14.03394699;8.878550529;20.75641251;18.2731514;13.98270321;2.366100073;11.04030228;6.45993948;23.76595688;132.25;304.4344482;302.9942932;4.335841656;66.19999695;32.31122208;45.2802887;26.53294373;21.73745918;42.05373001;19.74597359;14.07301235;24.03973579;11.28915882;44.21373367;27.71616173;17.7809124;14.56289864;37.61999893;49.32171631;43.11930466;46.0708847;19.40160751;6.630155563;7.617143154;19.72798347;33.89686203;44.66207504;18.59250069;14.52088451;20.53096771;17.06511879;40.46509171;34.7831192;23.72119713;24.12949371;43.50391769;13.82537842;14.10945034;27.12319183;18.48348808;62.95603561;19.04573059;9.302843094
07.01.2010;1141.689941;10606.86035;2300.050049;7393.930176;19.05999947;1.431803226;93.38999939;1.593396902;0.045000002;2.599999905;3.822000027;31.23258018;41.14880371;83.72628021;27.33975792;32.94763184;18.32446861;15.08076;6.912947178;31.8482914;10.97530842;14.34699345;38.61397934;24.77402306;12.50769329;17.54174042;14.251194;8.87134552;20.80502129;18.21913338;14.12288094;2.361429214;11.02440453;6.447998047;23.51879883;130;297.3473511;295.9407349;4.25086832;66.45999908;32.95126724;44.95711517;27.55118561;21.99427032;41.82565689;19.92974472;14.53667927;23.88264656;11.24667645;44.07483292;27.7248745;17.86101151;14.47164249;36.88999939;49.1359024;42.8452301;46.0708847;19.35338974;6.769777298;7.485713959;19.89141846;33.86517334;44.44620132;18.51000023;14.38125706;21.27595711;16.96354103;40.48775101;35.79153061;23.7589798;24.00697327;43.82249451;13.67015266;14.24793053;27.34681129;19.01434135;63.11975098;19.10508919;9.276634216
08.01.2010;1144.97998;10618.19043;2317.169922;7425.350098;18.12999916;1.441109061;92.66000366;1.602410078;0.039999999;2.565999985;3.808000088;31.42396927;41.48748016;84.5607605;27.41890335;33.0330162;18.35937119;15.11017036;6.989658356;32.02431488;11.04142475;14.26639271;38.98967743;24.84627151;12.57591629;17.65173721;14.35783863;8.95061779;21.05617523;18.38118362;14.20172977;2.401485682;11.20661545;6.490865231;23.68099594;133.5200043;301.3113098;299.8859558;4.260056496;66.44000244;32.87034988;45.11167145;27.29245186;21.88852882;41.77037811;19.98487473;14.40787983;23.89111519;11.3377161;43.8980217;27.76842499;17.95567322;14.57810783;36.68999863;49.2226181;42.70468521;46.84654999;18.99518013;6.749833107;7.614285946;19.99310875;33.73047638;44.12613297;18.53750038;14.54181957;21.07876015;16.97423363;40.28382874;36.14958572;23.74637413;23.82318687;43.78002167;13.56999969;14.21980095;27.72913551;18.97412872;63.53294373;19.54283714;9.19627285
11.01.2010;1146.97998;10663.99023;2312.409912;7449.049805;17.54999924;1.451126099;92.09200287;1.611291885;0.025;2.555999994;3.818000078;31.4681263;41.31813812;84.74620056;27.44325447;33.09830856;18.41754913;15.13957882;7.029963017;32.10058975;11.04142475;14.30221462;39.17058182;24.83970261;12.57591629;17.72291374;14.428936;8.91458416;20.94275093;18.30401421;14.14040184;2.384995699;11.12957287;6.433606625;23.37976646;130.3099976;300.8558655;299.4326477;4.200343132;66.5;32.75999069;45.11870575;27.47607613;21.26917839;41.60451508;19.92744446;14.53667927;23.49791908;11.42875767;44.39056015;27.31548882;17.90470123;14.66936779;36.20999908;50.09595871;42.6554985;47.40196609;19.38094521;6.705949306;7.604286194;20.09479904;33.69878387;44.1782341;18.41250038;14.62559605;21.03493118;17.0437355;40.9485321;36.01806641;23.84085846;24.14991188;44.11983871;13.50490952;14.04454136;28.04293442;18.81326103;64.13326263;19.29057884;9.189286232
12.01.2010;1136.219971;10627.25977;2282.310059;7370.450195;18.25;1.447659969;91.08000183;1.615169644;0.039999999;2.482000113;3.719000101;31.01175499;40.80121231;84.74620056;27.29107475;32.84215546;18.27793121;14.95724487;6.985757828;31.76028252;10.90258026;14.32460308;38.84358597;24.60982513;12.41672707;17.54820824;14.17614555;8.799278259;20.61058426;18.03393364;14.00022602;2.323637009;10.8421917;6.360423088;23.22529411;127.3499985;295.5355225;294.1375122;4.057960987;66;31.99487114;45.35758209;26.74994087;21.13321686;42.08136368;19.8332634;14.04726219;23.48474503;11.3923378;44.16954422;26.84513283;17.62073326;14.4488306;35.65999985;49.80486679;43.25281143;46.61671829;19.59104347;6.586273193;7.4814291;20.03668022;33.48484039;43.94005203;17.07250023;14.388237;20.50905037;17.0597744;41.34132004;35.43346024;23.65189552;24.0682354;44.36054611;13.499897;14.02506924;27.6533947;18.7650032;63.4471817;18.48185921;8.965669632
13.01.2010;1145.680054;10680.76953;2307.899902;7430.140137;17.85000038;1.452390552;91.43299866;1.628611445;0.050000001;2.532000065;3.782999992;31.1368866;41.30923462;84.09715271;27.40065384;33.12342072;18.4059124;15.15133953;7.118374825;32.12992859;11.05464745;14.4723711;39.07317352;24.83970261;12.56075478;17.88467789;14.30648899;8.91458416;20.81312561;18.21913338;14.2367754;2.383792877;11.12101364;6.450139999;23.44155693;129.1100006;293.8388367;292.448822;4.113077641;66;32.55399323;45.64562225;27.1589241;21.24651527;42.51678085;20.01703453;14.27050304;24.09523773;11.65939045;43.99272537;27.25452042;17.94110489;14.00775433;36.27999878;49.42700958;43.6041832;46.6358757;19.64271164;6.689993858;7.708570957;20.22691917;33.86517334;44.2154541;17.125;14.63258171;20.87424469;17.03838921;41.55282211;35.58691788;24.52113342;24.40175438;44.31099701;13.3396616;14.15056038;27.72192764;18.67652321;64.56988525;18.56347084;8.997115135
14.01.2010;1148.459961;10710.5498;2316.73999;7448.52002;17.62999916;1.449989796;91.26699829;1.633399844;0.045000002;2.484999895;3.733999968;31.06328964;41.34487152;84.2826004;27.46761513;33.26406097;18.45826721;15.29838562;7.094970703;32.24727631;11.06125736;14.49028397;39.21928024;24.85940742;12.56833553;17.9752655;14.32623768;8.91458416;20.80502129;18.25771904;14.2367754;2.384995699;11.12835121;6.41278553;23.91270638;127.3499985;295.2202148;293.8236694;4.048775196;65.95999908;32.87768936;45.73695374;27.80992889;21.37491798;42.55823898;20.08594322;14.44222832;24.50255775;11.7625742;43.99904633;27.01934433;18.16682053;14.01536083;35.90000153;49.27217484;44.1312294;46.36774826;19.67715263;6.650101662;7.284286022;20.24886703;34.16625595;43.70927811;17.29750061;14.99559784;21.17370415;16.69088364;40.9485321;35.34578323;25.188797;24.50386047;44.35346222;13.11432838;14.06185341;27.83734512;18.65238953;63.15872574;18.33346748;8.736809731
15.01.2010;1136.030029;10609.65039;2287.98999;7356.790039;17.90999985;1.439097404;90.75;1.626995087;0.055;2.41899991;3.676000118;30.69524002;40.86359787;83.54084015;27.29714394;33.0079155;18.30120277;15.16898823;7.033864021;31.89523315;10.94225025;14.31564808;38.71834564;24.55728531;12.40914822;17.82644463;14.04975224;8.813691139;20.52956963;18.08023262;14.04403114;2.329581976;10.86787319;6.305614471;23.83546448;127.1399994;290.2902832;288.9170532;3.929355621;64.94000244;32.13465118;45.35758209;28.16881371;21.57884979;42.03298187;19.78731728;13.96139145;24.70667267;11.82933521;43.63914108;26.65350533;17.76635551;13.87087536;35.86999893;49.07397461;43.77283096;45.72613525;19.38782883;6.634144306;7.278571129;20.30008698;33.92063904;43.76140213;17.15749931;14.52088451;20.50905037;16.34872246;40.54817963;35.46269989;24.86126518;24.38134384;44.09152222;12.91403866;13.93202686;27.48748779;18.67661667;63.11975098;18.17765617;8.831149101
