Date,Adj Close,rsi,Close,macd,ma_7,^GSPC,^VIX,Volume,000001.SS,^IRX,EURUSD=X,bolu,GBPUSD=X,JPY=X,CVX,^FVX,VWO,High,XOM,T,TSLA,bold,PG,LIN,PFE,QCOM,WMT,BAC,NFLX,ewm,^DJI
2013-01-02,22.33302116394043,67.941068038871,28.670000076293945,0.2482354114391363,21.544036592756,1462.420044,14.68000031,6677100.0,2269.12793,0.055,1.319783568,28.27653179600716,1.62469542,86.59999847,75.6294632,0.763000011,35.66344452,28.68000030517578,60.38754654,20.13039589,7.072000027,26.46280148392042,52.75611877,93.4337616,17.72542572,50.16107559,56.03229141,10.46015835,13.14428616,21.33115111908538,13412.5498
2013-01-03,22.15385627746582,64.14720631114943,28.440000534057617,0.2814816572004552,21.61748150416783,1459.369995,14.56000042,3970700.0,2269.12793,0.064999998,1.318217754,28.44168370800279,1.625249863,87.27500153,75.30744934,0.808000028,35.45166779,28.76000022888184,60.27863312,20.14189148,6.953999996,26.47331625385024,52.42160034,93.4337616,17.68438148,49.92866135,55.67621994,10.39929008,13.79857063,21.40594249711997,13391.36035
2013-01-04,22.761449813842773,70.220351058735,29.21999931335449,0.3527905175255696,21.7821775163923,1466.469971,13.82999992,5842400.0,2276.991943,0.064999998,1.303271174,28.71106546062793,1.608234167,87.73999786,75.7048111,0.819000006,35.51440811,29.290000915527344,60.55771255,20.26267815,6.880000114,26.42026782692904,52.5280571,94.06452179,17.7596302,49.19272232,55.88662338,10.52971745,13.71142864,21.52917043500386,13435.20996
2013-01-07,21.818891525268555,54.731818768899096,28.01000022888184,0.3294490429934527,21.84226826259068,1461.890015,13.78999996,8339200.0,2285.364014,0.057999998,1.30674541,28.761599781213896,1.606787086,88.19799805,75.190979,0.813000023,35.20852661,29.100000381469727,59.85657883,20.35470772,6.868000031,26.540400200984188,52.17071152,93.85702515,17.77331924,49.58781052,55.35251617,10.51232815,14.17142868,21.555508715937016,13384.29004
2013-01-08,22.07596206665039,57.48609232780197,28.34000015258789,0.327914209632727,21.93685804094587,1457.150024,13.61999989,3880400.0,2276.070068,0.059999999,1.312508225,28.805516313684564,1.612201095,87.25299835,74.85527802,0.785000026,34.91833115,28.36000061035156,60.23097229,20.01099205,6.736000061,26.61448363545281,52.08708191,94.51268768,17.80068398,49.51032639,55.50627518,10.41668129,13.88000011,21.60282265691096,13328.84961
2013-01-09,22.18501663208008,58.6358707039991,28.479999542236328,0.3316743002860036,22.09487697056361,1461.02002,13.81000042,3831000.0,2275.340088,0.055,1.308232665,28.87167567267695,1.606167674,86.86799622,75.04710388,0.760999978,35.12225342,28.68000030517578,59.99951172,19.94691277,6.728000164,26.68832430189173,52.36839294,94.50437164,18.10853004,50.26178741,55.49009323,9.938455582,13.70142937,21.65574938192633,13390.50977
2013-01-10,22.07596206665039,56.97642520914449,28.34000015258789,0.3221409666577308,22.200594220842635,1472.119995,13.48999977,3469900.0,2283.656982,0.055,1.305483103,28.924715790036323,1.601537466,88.13300323,75.68427277,0.792999983,35.43598175,28.6200008392334,60.65301895,20.02264786,6.705999851,26.763617594159637,52.66488647,94.76167297,18.30692863,50.18430328,55.32014084,10.24278069,14.0,21.69395053508306,13471.21973
2013-01-11,22.07596206665039,56.97642520914449,28.34000015258789,0.3110007084970299,22.16387149265834,1472.050049,13.35999966,2874100.0,2242.99707,0.063000001,1.327316165,28.9530436377483,1.616292119,89.2460022,76.54750824,0.782000005,35.16931152,28.38999938964844,61.00020218,19.96438789,6.581999779,26.832623082324133,52.62687683,94.61225891,18.14273834,50.2772789,55.5386467,10.11235714,14.47000027,21.72867885613464,13488.42969
2013-01-14,22.24733161926269,59.086627416324575,28.559999465942383,0.3123989240097486,22.17722511291504,1470.680054,13.52000046,2463700.0,2311.73999,0.059999999,1.336201668,28.9922466916418,1.612695098,89.52300262,77.31481934,0.768000007,35.31048965,28.600000381469727,60.9797554,19.81874847,6.65199995,26.919753328703248,52.93858719,94.69526672,18.29324341,49.76597595,55.27159882,9.973237991,14.77857113,21.775829107328097,13507.32031
2013-01-15,22.138277053833008,57.16511355074506,28.420000076293945,0.3012347808129618,22.088200432913645,1472.339966,13.55000019,3031400.0,2325.681885,0.079999998,1.337792635,28.98941832316528,1.607717037,89.45999908,77.71907043,0.745000005,35.17715073,28.450000762939453,60.94574356,19.6672802,6.78000021,27.04758169717977,53.12866211,94.45458221,18.2111454,49.92091751,55.82189178,10.04279613,14.52714252,21.808778920646724,13534.88965
