,date,Adj Close,volume,twtr
0,2013-11-07,1747.1500244140625,4143200000,44.900002
1,2013-11-08,1770.6099853515625,3837170000,41.650002
2,2013-11-11,1771.8900146484375,2534060000,42.900002
3,2013-11-12,1767.68994140625,3221030000,41.900002
4,2013-11-13,1782.0,3327480000,42.599998
5,2013-11-14,1790.6199951171875,3139060000,44.689999
6,2013-11-15,1798.1800537109375,3254820000,43.98
7,2013-11-18,1791.530029296875,3168520000,41.139999
8,2013-11-19,1787.8699951171875,3224450000,41.75
9,2013-11-20,1781.3699951171875,3109140000,41.049999
10,2013-11-21,1795.8499755859375,3256630000,42.060001
11,2013-11-22,1804.760009765625,3055140000,41.0
12,2013-11-25,1802.47998046875,2998540000,39.060001
13,2013-11-26,1802.75,3427120000,40.18
14,2013-11-27,1807.22998046875,2613590000,40.900002
15,2013-11-29,1805.81005859375,1598300000,41.57
16,2013-12-02,1800.9000244140625,3095430000,40.779999
17,2013-12-03,1795.1500244140625,3475680000,41.369999
18,2013-12-04,1792.81005859375,3610540000,43.689999
19,2013-12-05,1785.030029296875,3336880000,45.619999
20,2013-12-06,1805.0899658203125,3150030000,44.950001
21,2013-12-09,1808.3699951171875,3129500000,49.139999
22,2013-12-10,1802.6199951171875,3117150000,51.990002
23,2013-12-11,1782.219970703125,3472240000,52.34
24,2013-12-12,1775.5,3306640000,55.330002
25,2013-12-13,1775.3199462890625,3061070000,59.0
26,2013-12-16,1786.5400390625,3209890000,56.610001
27,2013-12-17,1781.0,3270030000,56.450001
28,2013-12-18,1810.6500244140625,4327770000,55.509998
29,2013-12-19,1809.5999755859373,3497210000,57.490002
30,2013-12-20,1818.3199462890625,5097700000,60.009998
31,2013-12-23,1827.989990234375,2851540000,64.540001
32,2013-12-24,1833.3199462890625,1307630000,69.959999
33,2013-12-26,1842.02001953125,1982270000,73.309998
34,2013-12-27,1841.4000244140625,2052920000,63.75
35,2013-12-30,1841.0699462890625,2293860000,60.509998
36,2013-12-31,1848.3599853515625,2312840000,63.650002
37,2014-01-02,1831.97998046875,3080600000,67.5
38,2014-01-03,1831.3699951171875,2774270000,69.0
39,2014-01-06,1826.77001953125,3294850000,66.290001
40,2014-01-07,1837.8800048828125,3511750000,61.459999
41,2014-01-08,1837.489990234375,3652140000,59.290001
42,2014-01-09,1838.1300048828125,3581150000,57.049999
43,2014-01-10,1842.3699951171875,3335710000,57.0
44,2014-01-13,1819.199951171875,3591350000,57.82
45,2014-01-14,1838.8800048828125,3353270000,58.209999
46,2014-01-15,1848.3800048828125,3777800000,61.57
47,2014-01-16,1845.8900146484373,3491310000,60.57
48,2014-01-17,1838.699951171875,3626120000,62.200001
49,2014-01-21,1843.800048828125,3782470000,62.529999
50,2014-01-22,1844.8599853515625,3374170000,62.439999
51,2014-01-23,1828.4599609375,3972250000,62.799999
52,2014-01-24,1790.2900390625,4618450000,61.740002
53,2014-01-27,1781.56005859375,4045200000,57.91
54,2014-01-28,1792.5,3437830000,60.439999
55,2014-01-29,1774.199951171875,3964020000,59.450001
56,2014-01-30,1794.18994140625,3547510000,63.470001
57,2014-01-31,1782.5899658203125,4059690000,64.5
58,2014-02-03,1741.8900146484375,4726040000,65.25
59,2014-02-04,1755.199951171875,4068410000,66.32
60,2014-02-05,1751.6400146484375,3984290000,65.970001
61,2014-02-06,1773.4300537109375,3825410000,50.029999
62,2014-02-07,1797.02001953125,3775990000,54.349998
63,2014-02-10,1799.8399658203125,3312160000,52.919998
64,2014-02-11,1819.75,3699380000,54.0
65,2014-02-12,1819.260009765625,3326380000,56.849998
66,2014-02-13,1829.8299560546875,3289510000,56.470001
67,2014-02-14,1838.6300048828125,3114750000,57.439999
68,2014-02-18,1840.760009765625,3421110000,58.18
69,2014-02-19,1828.75,3661570000,55.5
70,2014-02-20,1839.780029296875,3404980000,56.630001
71,2014-02-21,1836.25,3403880000,55.919998
72,2014-02-24,1847.6099853515625,4014530000,55.779999
73,2014-02-25,1845.1199951171875,3515560000,54.959999
74,2014-02-26,1845.1600341796875,3716730000,55.869999
75,2014-02-27,1854.2900390625,3547460000,55.77
76,2014-02-28,1859.449951171875,3917450000,54.91
77,2014-03-03,1845.72998046875,3428220000,53.709999
78,2014-03-04,1873.9100341796875,3765770000,54.279999
79,2014-03-05,1873.81005859375,3392990000,54.380001
80,2014-03-06,1877.030029296875,3360450000,54.830002
81,2014-03-07,1878.0400390625,3564740000,53.529999
82,2014-03-10,1877.1700439453125,3021350000,53.880001
83,2014-03-11,1867.6300048828125,3392400000,54.02
84,2014-03-12,1868.199951171875,3270860000,54.5
85,2014-03-13,1846.3399658203125,3670990000,53.57
86,2014-03-14,1841.1300048828125,3285460000,51.919998
87,2014-03-17,1858.8299560546875,2860490000,52.049999
88,2014-03-18,1872.25,2930190000,51.130001
89,2014-03-19,1860.77001953125,3289210000,51.240002
90,2014-03-20,1872.010009765625,3327540000,50.119999
91,2014-03-21,1866.52001953125,5270710000,50.919998
92,2014-03-24,1857.43994140625,3409000000,48.77
93,2014-03-25,1865.6199951171875,3200560000,47.880001
94,2014-03-26,1852.56005859375,3480850000,44.43
95,2014-03-27,1849.0400390625,3733430000,46.32
96,2014-03-28,1857.6199951171875,2955520000,47.299999
97,2014-03-31,1872.3399658203125,3274300000,46.669998
98,2014-04-01,1885.52001953125,3336190000,46.98
99,2014-04-02,1890.9000244140625,3131660000,45.73
100,2014-04-03,1888.77001953125,3055600000,44.049999
101,2014-04-04,1865.0899658203125,3583750000,43.139999
102,2014-04-07,1845.0400390625,3801540000,42.450001
103,2014-04-08,1851.9599609375,3721450000,41.779999
