Date,High,Low,Open,Close,Volume,Adj Close,ewm_short,ma_short,rsi,macd,bolu,bold
1990-01-02,359.69000244140625,351.9800109863281,353.3999938964844,359.69000244140625,162070000,359.69000244140625,359.69000244140625,,,,,
1990-01-03,360.5899963378906,357.8900146484375,359.69000244140625,358.760009765625,192330000,358.760009765625,359.6054576526989,,0.0,,,
1990-01-04,358.760009765625,352.8900146484375,358.760009765625,355.6700134277344,177000000,355.6700134277344,359.24768999588395,,0.0,,,
1990-01-05,355.6700134277344,351.3500061035156,355.6700134277344,352.20001220703125,158530000,352.20001220703125,358.60699201507913,,0.0,,,
1990-01-08,354.239990234375,350.5400085449219,352.20001220703125,353.7900085449219,140110000,353.7900085449219,358.16908442688305,,8.882198326420195,,,
1990-01-09,354.1700134277344,349.6099853515625,353.8299865722656,349.6199951171875,155210000,349.6199951171875,357.391894489638,,7.100823874041993,,,
1990-01-10,349.6199951171875,344.32000732421875,349.6199951171875,347.30999755859375,175990000,347.30999755859375,356.47535840499756,,6.342033151674357,,,
1990-01-11,350.1400146484375,347.30999755859375,347.30999755859375,348.5299987792969,154390000,348.5299987792969,355.7530529844793,,11.708233757557295,,,
1990-01-12,348.5299987792969,339.489990234375,348.5299987792969,339.92999267578125,183880000,339.92999267578125,354.3145929564158,,8.159297925988,,,
1990-01-15,339.94000244140625,336.57000732421875,339.92999267578125,337.0,140590000,337.0,352.7405390512871,,7.34268860698154,,,
1990-01-16,340.75,333.3699951171875,337.0,340.75,186070000,340.75,351.65049004662467,,18.5749906660365,,,
1990-01-17,342.010009765625,336.260009765625,340.7699890136719,337.3999938964844,170470000,337.3999938964844,350.3549903966119,,16.6349549605158,,,
1990-01-18,338.3800048828125,333.9800109863281,337.3999938964844,338.19000244140625,178590000,338.19000244140625,349.24908240068413,,18.78905832465395,,,
1990-01-19,340.4800109863281,338.19000244140625,338.19000244140625,339.1499938964844,185590000,339.1499938964844,348.3309834457569,,21.44534377953775,,,
1990-01-22,339.9599914550781,330.2799987792969,339.1400146484375,330.3800048828125,148380000,330.3800048828125,346.699076303671,,16.22443463812273,,,
1990-01-23,332.760009765625,328.6700134277344,330.3800048828125,331.6099853515625,179300000,331.6099853515625,345.3273407625702,,19.19563403929277,,,
1990-01-24,331.7099914550781,324.1700134277344,331.6099853515625,330.260009765625,207830000,330.260009765625,343.9575833992115,,18.423318668631538,,,
1990-01-25,332.3299865722656,325.3299865722656,330.260009765625,326.0799865722656,172270000,326.0799865722656,342.33234732403463,,16.243991510341473,,,
1990-01-26,328.5799865722656,321.44000244140625,326.0899963378906,325.79998779296875,198190000,325.79998779296875,340.8294055484832,,16.106549591197208,,,
1990-01-29,327.30999755859375,321.7900085449219,325.79998779296875,325.20001220703125,150770000,325.20001220703125,339.4085516083512,,15.798093562821592,,363.0132122540477,319.932458318869
