date,open,high,low,close,adj close,volume
2012-05-01,51.930000,52.750000,51.580002,52.320000,42.835804,8474800
2012-05-02,52.189999,52.849998,52.139999,52.709999,43.155109,10109100
2012-05-03,52.700001,52.880001,52.240002,52.470001,42.958614,10470300
2012-05-04,52.290001,52.360001,51.700001,51.959999,42.541065,8564700
2012-05-07,51.599998,51.830002,51.360001,51.389999,42.074387,8532000
2012-05-08,51.220001,51.279999,49.810001,50.619999,41.443958,15807200
2012-05-09,50.189999,50.369999,49.849998,50.110001,41.026417,17577400
2012-05-10,50.520000,50.750000,50.369999,50.619999,41.443958,16080300
2012-05-11,50.250000,50.880001,50.049999,50.340000,41.214710,10489700
2012-05-14,50.139999,50.590000,49.720001,49.880001,40.838104,12329400
2012-05-15,47.900002,49.500000,47.230000,48.669998,39.847439,28826600
2012-05-16,48.900002,49.320000,48.750000,48.770000,39.929317,14756500
2012-05-17,48.689999,48.700001,47.009998,47.020000,38.496540,15699100
2012-05-18,47.000000,47.540001,46.720001,47.049999,38.521107,12962200
2012-05-21,46.490002,47.820000,46.369999,47.610001,38.979599,12713000
2012-05-22,47.990002,48.580002,47.680000,48.259998,39.511761,15028300
2012-05-23,47.980000,48.799999,47.830002,48.740002,39.904755,13489900
2012-05-24,48.830002,49.720001,48.669998,49.709999,40.698917,9702000
2012-05-25,49.750000,50.090000,49.320000,49.439999,40.477871,9819200
2012-05-29,49.619999,49.919998,49.270000,49.779999,40.996716,8582600
2012-05-30,49.549999,49.779999,48.910000,49.709999,40.939049,11996300
2012-05-31,49.619999,49.770000,49.160000,49.340000,40.634338,14217000
2012-06-01,48.849998,49.250000,47.919998,47.959999,39.497829,12638700
2012-06-04,47.910000,48.880001,47.750000,48.759998,40.156670,15969800
2012-06-05,48.480000,49.080002,48.279999,48.919998,40.288448,9457500
2012-06-06,49.500000,50.599998,49.340000,50.599998,41.672028,19333500
2012-06-07,51.119999,51.619999,50.910000,51.240002,42.199104,20693300
2012-06-08,51.209999,52.360001,51.049999,52.349998,43.113255,13338300
2012-06-11,52.590000,52.689999,51.279999,51.349998,42.289688,11729100
2012-06-12,51.540001,52.299999,51.400002,52.240002,43.022652,9006300
2012-06-13,51.779999,51.900002,50.810001,50.970001,41.976742,14524800
