Date,High,Low,Open,Close,Volume,Adj Close
2010-01-04,7331.1201171875,7184.97998046875,7184.97998046875,7326.740234375,3991400000,7326.740234375
2010-01-05,7359.4599609375,7313.60009765625,7326.740234375,7354.8701171875,2491020000,7354.8701171875
2010-01-06,7389.27978515625,7342.490234375,7354.85009765625,7377.7001953125,4972660000,7377.7001953125
2010-01-07,7398.2099609375,7325.509765625,7377.7001953125,7393.93017578125,5270680000,7393.93017578125
2010-01-08,7426.41015625,7367.81005859375,7393.93017578125,7425.35009765625,4389590000,7425.35009765625
2010-01-11,7471.31005859375,7419.56982421875,7425.60986328125,7449.0498046875,4255780000,7449.0498046875
2010-01-12,7449.0498046875,7340.93994140625,7449.0498046875,7370.4501953125,4716160000,7370.4501953125
2010-01-13,7441.18017578125,7349.419921875,7370.47021484375,7430.14013671875,4170360000,7430.14013671875
2010-01-14,7458.16015625,7417.9501953125,7430.14013671875,7448.52001953125,3915200000,7448.52001953125
2010-01-15,7448.509765625,7326.5400390625,7448.509765625,7356.7900390625,4758730000,7356.7900390625
2010-01-19,7443.68017578125,7352.4599609375,7356.7900390625,7443.68017578125,4724830000,7443.68017578125
2010-01-20,7443.669921875,7269.93017578125,7443.669921875,7329.830078125,4810560000,7329.830078125
2010-01-21,7345.93994140625,7166.6201171875,7329.83984375,7174.4599609375,6874290000,7174.4599609375
2010-01-22,7174.4599609375,7021.02978515625,7174.4599609375,7030.60986328125,6208650000,7030.60986328125
2010-01-25,7118.22021484375,7030.60986328125,7030.60986328125,7073.1298828125,4481390000,7073.1298828125
2010-01-26,7098.77001953125,7008.97998046875,7073.14013671875,7028.31982421875,4731910000,7028.31982421875
2010-01-27,7044.52001953125,6944.080078125,7028.419921875,7035.60986328125,5319120000,7035.60986328125
2010-01-28,7061.60986328125,6913.2998046875,7035.6201171875,6956.990234375,5452400000,6956.990234375
2010-01-29,7029.2900390625,6869.2099609375,6956.990234375,6883.77978515625,5412850000,6883.77978515625
2010-02-01,7008.39013671875,6883.7900390625,6883.7900390625,7008.22998046875,4077610000,7008.22998046875
2010-02-02,7111.52001953125,7005.83984375,7008.47021484375,7101.43994140625,4749540000,7101.43994140625
2010-02-03,7101.43017578125,7023.169921875,7101.43017578125,7042.6201171875,4285450000,7042.6201171875
2010-02-04,7042.56982421875,6786.27001953125,7042.56982421875,6787.85986328125,5859690000,6787.85986328125
2010-02-05,6799.81005859375,6631.509765625,6787.85986328125,6782.75,6438900000,6782.75
2010-02-08,6815.97998046875,6712.4501953125,6782.740234375,6713.8701171875,4089820000,6713.8701171875
2010-02-09,6887.33984375,6713.89990234375,6713.89990234375,6835.16015625,5114260000,6835.16015625
2010-02-10,6850.97998046875,6756.31982421875,6835.16015625,6819.1201171875,4251450000,6819.1201171875
2010-02-11,6901.4501953125,6769.39990234375,6819.1201171875,6898.72021484375,4400870000,6898.72021484375
2010-02-12,6898.72021484375,6783.10986328125,6898.72021484375,6874.56005859375,4160680000,6874.56005859375
2010-02-16,7020.33984375,6874.56005859375,6874.56005859375,7013.35009765625,4080770000,7013.35009765625
2010-02-17,7059.89013671875,7008.7001953125,7013.35009765625,7035.2001953125,4259230000,7035.2001953125
