,Date,^GSPC,^DJI,^IXIC,^NYA,^VIX
0,2010-01-04,1132.989990234375,10583.9599609375,2308.419921875,7326.740234375,20.040000915527344
1,2010-01-05,1136.52001953125,10572.01953125,2308.7099609375,7354.8701171875,19.350000381469727
2,2010-01-06,1137.1400146484375,10573.6796875,2301.090087890625,7377.7001953125,19.15999984741211
3,2010-01-07,1141.68994140625,10606.8603515625,2300.050048828125,7393.93017578125,19.059999465942383
4,2010-01-08,1144.97998046875,10618.1904296875,2317.169921875,7425.35009765625,18.1299991607666
5,2010-01-11,1146.97998046875,10663.990234375,2312.409912109375,7449.0498046875,17.549999237060547
6,2010-01-12,1136.219970703125,10627.259765625,2282.31005859375,7370.4501953125,18.25
7,2010-01-13,1145.6800537109375,10680.76953125,2307.89990234375,7430.14013671875,17.850000381469727
8,2010-01-14,1148.4599609375,10710.5498046875,2316.739990234375,7448.52001953125,17.6299991607666
9,2010-01-15,1136.030029296875,10609.650390625,2287.989990234375,7356.7900390625,17.90999984741211
10,2010-01-19,1150.22998046875,10725.4296875,2320.39990234375,7443.68017578125,17.579999923706055
11,2010-01-20,1138.0400390625,10603.150390625,2291.25,7329.830078125,18.68000030517578
12,2010-01-21,1116.47998046875,10389.8798828125,2265.699951171875,7174.4599609375,22.270000457763672
13,2010-01-22,1091.760009765625,10172.98046875,2205.2900390625,7030.60986328125,27.309999465942383
14,2010-01-25,1096.780029296875,10196.8603515625,2210.800048828125,7073.1298828125,25.40999984741211
15,2010-01-26,1092.1700439453125,10194.2900390625,2203.72998046875,7028.31982421875,24.549999237060547
16,2010-01-27,1097.5,10236.16015625,2221.409912109375,7035.60986328125,23.13999938964844
17,2010-01-28,1084.530029296875,10120.4599609375,2179.0,6956.990234375,23.729999542236328
18,2010-01-29,1073.8699951171875,10067.330078125,2147.35009765625,6883.77978515625,24.6200008392334
19,2010-02-01,1089.18994140625,10185.5302734375,2171.199951171875,7008.22998046875,22.59000015258789
20,2010-02-02,1103.3199462890625,10296.849609375,2190.06005859375,7101.43994140625,21.479999542236328
21,2010-02-03,1097.280029296875,10270.5498046875,2190.909912109375,7042.6201171875,21.600000381469727
22,2010-02-04,1063.1099853515625,10002.1796875,2125.429931640625,6787.85986328125,26.07999992370605
23,2010-02-05,1066.18994140625,10012.23046875,2141.1201171875,6782.75,26.11000061035156
24,2010-02-08,1056.739990234375,9908.3896484375,2126.050048828125,6713.8701171875,26.51000022888184
25,2010-02-09,1070.52001953125,10058.6396484375,2150.8701171875,6835.16015625,26.0
26,2010-02-10,1068.1300048828125,10038.3798828125,2147.8701171875,6819.1201171875,25.399999618530277
27,2010-02-11,1078.469970703125,10144.1904296875,2177.409912109375,6898.72021484375,23.959999084472656
28,2010-02-12,1075.510009765625,10099.1396484375,2183.530029296875,6874.56005859375,22.729999542236328
29,2010-02-16,1094.8699951171875,10268.8095703125,2214.18994140625,7013.35009765625,22.25
30,2010-02-17,1099.510009765625,10309.240234375,2226.2900390625,7035.2001953125,21.71999931335449
31,2010-02-18,1106.75,10392.900390625,2241.7099609375,7080.3798828125,20.6299991607666
32,2010-02-19,1109.1700439453125,10402.349609375,2243.8701171875,7083.25,20.020000457763672
33,2010-02-22,1108.010009765625,10383.3798828125,2242.030029296875,7078.52978515625,19.940000534057617
34,2010-02-23,1094.5999755859375,10282.41015625,2213.43994140625,6974.60009765625,21.3700008392334
35,2010-02-24,1105.239990234375,10374.16015625,2235.89990234375,7030.669921875,20.270000457763672
36,2010-02-25,1102.93994140625,10321.0302734375,2234.219970703125,7013.4501953125,20.100000381469727
37,2010-02-26,1104.489990234375,10325.259765625,2238.260009765625,7035.0400390625,19.5
38,2010-03-01,1115.7099609375,10403.7900390625,2273.570068359375,7100.75,19.26000022888184
39,2010-03-02,1118.31005859375,10405.98046875,2280.7900390625,7135.97021484375,19.059999465942383
40,2010-03-03,1118.7900390625,10396.759765625,2280.679931640625,7164.66015625,18.82999992370605
41,2010-03-04,1122.969970703125,10444.1396484375,2292.31005859375,7173.06982421875,18.71999931335449
42,2010-03-05,1138.699951171875,10566.2001953125,2326.35009765625,7291.31005859375,17.420000076293945
43,2010-03-08,1138.5,10552.51953125,2332.2099609375,7292.52978515625,17.790000915527344
44,2010-03-09,1140.449951171875,10564.3798828125,2340.679931640625,7294.02001953125,17.920000076293945
45,2010-03-10,1145.6099853515625,10567.330078125,2358.949951171875,7327.669921875,18.56999969482422
46,2010-03-11,1150.239990234375,10611.83984375,2368.4599609375,7353.240234375,18.059999465942383
47,2010-03-12,1149.989990234375,10624.6904296875,2367.659912109375,7362.85009765625,17.579999923706055
48,2010-03-15,1150.510009765625,10642.150390625,2362.2099609375,7350.9599609375,18.0
49,2010-03-16,1159.4599609375,10685.98046875,2378.010009765625,7426.7001953125,17.690000534057617
50,2010-03-17,1166.2099609375,10733.669921875,2389.090087890625,7474.1298828125,16.90999984741211
51,2010-03-18,1165.8299560546875,10779.169921875,2391.280029296875,7443.56982421875,16.6200008392334
52,2010-03-19,1159.9000244140625,10741.98046875,2374.409912109375,7386.85009765625,16.969999313354492
53,2010-03-22,1165.81005859375,10785.8896484375,2395.39990234375,7419.02001953125,16.8700008392334
54,2010-03-23,1174.1700439453125,10888.830078125,2415.239990234375,7478.85986328125,16.350000381469727
55,2010-03-24,1167.719970703125,10836.150390625,2398.760009765625,7408.16015625,17.549999237060547
56,2010-03-25,1165.72998046875,10841.2099609375,2397.409912109375,7385.60009765625,18.399999618530277
57,2010-03-26,1166.5899658203125,10850.3603515625,2395.1298828125,7403.580078125,17.770000457763672
